userName,score,reviewCreatedVersion,at,replyContent,repliedAt,content_clean
Kun_ _My,4,,2025-09-30 12:34:45,,,kenapa batas offline ya cuman 2 biasanya kan 25 kok kurang banyak nya?
Ukiii Ya,5,,2025-09-30 12:30:49,,,seru banget saya suka banget sama aplikasi ini
Alda Maura frisya,1,,2025-09-30 11:42:43,,,"kenapa sih aku nulis pas mau di publis gk bisa? udah ganti emailnya beberapa kali tetap gk bisa, mau bikin akun ulang malah gk bisa juga karena kata sandi nya banyak syaratnya dll ngeselin banget udah lah pakai nomor gk bisa, pakai teks juga gk bisa hadeehh..."
Efiq Elvira Rismasita,2,,2025-09-30 11:06:26,,,"kecewa, draft cerita saya hilang semua entah kemana"
Erna Wati,5,,2025-09-30 08:22:02,,,"bagus bgt sih, walau kadang ngelag juga"
Risma Dwi lestari,1,11.15.1,2025-09-30 06:25:36,,,"makin kesini kok makin bug sih, update ga diupdate sama aja."
siska fitria21,1,11.15.1,2025-09-30 03:32:58,,,"apk ga bisa dibuka, tolong segera kasih solusinya"
Lantana,4,11.15.1,2025-09-30 03:05:18,,,lumayan
Suci Anggreini,2,11.11.1,2025-09-29 23:09:01,,,"dulu wp kekny gak se ngebug ini ya? masa mau buka ceeita malah ada tulisan ""cerita ini tidak tersedia"" padahal blm selesai di baca, udh ilang aja, kacau kacau"
Viola Aghniya,1,,2025-09-29 18:14:08,,,"gagal bkin akun mlu, pdhl udh bnr"
Fenny Yulianti,1,11.14.1,2025-09-29 17:42:50,,,"honestly, i don't care about iklan, bug, dan segala macam. cuma satu yg saya permasalahkan, apa fungsinya wattpad skrg? ngemis vote kh? habis ngemis vote sama komen, ceritanya di pdf kn supaya mereka dpt duit dri pembacanya. mereka emang gk maksa, tapi mereka memperlakukan pembacanya seperti sampah. salah satunya author yg membuat fanfiction naruhina bergenre hurt-romance. harapan gua skrg, wattpad membuat aturan baru, di larang menulis fanfiction. hrs menulis karakter original mereka sendiri."
Marini Astuti,1,11.15.1,2025-09-29 15:04:33,,,"aplikasi ngaco, ga bisa log in, sukanya ngebug mulu. kalo gini mulu banyak yang ga akan pakai wattpad nantinya"
Wachyu Putri,2,11.15.1,2025-09-29 14:34:21,,,"tolong tinjau ulang dong apknya. tiap mau baca cerita lemot banget giliran dah mulai baca banyak banget iklannya, kurang²in lah iklan itu"
li,1,,2025-09-29 13:58:07,,,bug di mana-mana
Indah Sofianaa,1,,2025-09-29 13:14:51,,,tidak bisa login lagi setelah di hapus uninstal
rizka amanda,5,11.14.1,2025-09-29 13:03:32,,,apk nya bagus cuma kok sekarang cerita offline di wp ku kok cuma bisa memuat 1 cerita doang yaa????
adam bagus,5,11.14.1,2025-09-29 12:32:02,,,ondah family jkt48
Adenia Ramadhani,2,11.15.1,2025-09-29 12:27:46,,,"dulu saya suka dengan apk ini, tpi karna hp saya habis diperbaiki jadi semua file di hp saya hilang, termasuk apk wattpad, lalu, setelah saya download lagi, tiba tiba akun saya tidak bisa terdaftar, pakai facebook ngga bisa, pakai google juga ngga bisa, apalgi lngsng pake email, tetep saja tidak bisa, tolong dong ini, klo ngga bisa semua, saya harus daftar pake apa hah?!, pake uang?!, saya mohon tolong diperbaiki, karna saya ingin membaca wattpad lagi tapi ngga bisaa😓, saya smpe nangis tau ngga"
Fc Hollywood,5,11.15.1,2025-09-29 11:34:51,,,"bagus. aplikasi ini jadi tempat saya menyalurkan hobi baca, dan berguna banget jadi tempat nulis dan publish cerita, bagus banget untuk yang hobi menulis atau membaca. minus dari saya mungkin hanya iklannya yang banyak banget. overall bagus. shout out to all the wonderful writters and readers."
Putu Putu,5,11.8.0,2025-09-29 11:12:45,,,"baguss bangett, cuman banyak iklan jadi terganggu"
Wahyu 1234,4,11.15.1,2025-09-29 10:58:36,,,"aplikasi yang seru dan bagus , walau kadang susah di buka dan sering update tapi tetap bagus dan sesuai seperti cerita yang kita inginkan."
Al_ faruqq,2,11.15.1,2025-09-29 10:51:42,,,"sekarang wattpad banyak bug padahal sering update, gk kayak dulu,"
Denok manies Jogja,3,11.15.1,2025-09-29 10:37:47,,,"aplikasi favorit sejak 2020 ,, tpi makin kesini makin kesono , gua gak bisa masuk, hari ini udah 3x download 3 hapus, coba masuk gagal lagi. wifi rumah lancar jaya padahal, arrgghhhhh pengen ngamuk 😤😤😤😭😭😭😭"
Pengguna Google,3,11.15.1,2025-09-29 09:37:50,,,ini wattpad kenapa ya kalo mau masuk aplikasinya suka bug. tolong diperbaiki udah lama banget permasalahan ini tapi tetep kalo update tetep ada bugnya
Ba,3,11.15.1,2025-09-29 08:52:18,,,kenapa sekarang hanya sampe 2 bacaan offlinenya dan yang paling menyebalkan saat membaca tiba-tiba masuk ke playstore
Inaya Athifa,4,11.15.1,2025-09-29 08:09:21,,,"hello, i really like this application but please fix it because there are too many bugs, for example when i want to enter the wattpad application, the writing says ""internet failed"" but when i check my internet, it's not a problem (aka my internet is fine) but there is always the writing ""internet failed"", please fix this. the rest is good. and if the application no longer says ""internet failed"" i will give it five stars, aka perfect."
zero.ze.24,2,,2025-09-29 07:36:54,,,banyak bug saat akan mengulangi bacaan lagi saat sudah membaca cerita dan ingin mengulang cerita tersebut tiba tiba ceritanya tidak bisa di buka lagi
karenina pratiwi,2,11.15.1,2025-09-29 06:48:00,,,sering banget eror
Ati Endang,5,11.13.0,2025-09-29 04:33:02,,,"bagus juga apk ini ,tapi...ini kenapa ga bisa offline ya sedih banget"
Campak Nsin,1,11.15.1,2025-09-29 00:08:45,,,bug terus tolong perbaiki
Alifa_iz,4,,2025-09-28 23:51:37,,,"kenapa tiba"" wattpadnya harus login lagi, jadinya bacaanku hilang semua😭😭,aku udah login diakun yang sama loh."
Laras Azis,1,,2025-09-28 17:32:48,,,eh cukimay wattpad anying mana bisa gitu cok aku luamyan lama pakai wattpad dari 2020 kok sekarang unduhan buat baca offline cuma bisa 2??? pmkst??? anw wattpad gue selalu update otomatis yaa!! dan waktu gue mau baca offline kouta nya cuma 2 cerita tok??? are u serious?! bitj fix ur app!
Peachiee,3,11.15.1,2025-09-28 16:56:03,,,please wattpad tambahin fitur buat pindah-pindah akun dong.. masa hrs keluar masuk terus?? ribet bgt jujur 😭
Chelsea 123,5,11.12.1,2025-09-28 16:42:26,,,aplikasi ini cocok untuk org yg suka membaca dan ingin menulis sebuah novel
Anggot Gile,5,,2025-09-28 16:27:38,,,sangat bagus👍
Loly Loly,1,11.14.1,2025-09-28 14:57:35,,,"susah login pdhl sinyal wifi bagus,knpa jadi error gini sekarang"
El Zaza,5,11.14.1,2025-09-28 13:37:33,,,apk ini sangat bagus buat saya yang sangat gabutt ini untk menggisi waktu luang saya and apk ini juga bisa pake mode ofline jadi sangat di butuh kan saat waktu nggak ada kouta
Ajeng Aprilia,3,11.15.1,2025-09-28 11:55:38,,,"sering ngeleg, cepet banget updatenya jadi males. setelah update gaada perubahan. yg bikin seru cuma ceritanya doang. download juga karena gabut kalau offline mau ngapain"
Intan Indriany,4,11.15.1,2025-09-28 11:45:15,,,"baguss, tapi suka error knpa ya?"
Putri Kim,5,11.14.1,2025-09-28 11:16:52,,,bagus but semua draf gw kaga ada!!
Lia Meylia,5,11.15.1,2025-09-28 09:13:58,,,"r u knoww!???, gr"" ni app guee jadii asing sm orang. klo gw kasi alasannya juga ga bakalan ekspek btw nii app baguss bangett guee recommend..."
Ian Sutian,1,,2025-09-28 08:55:00,,,ga jelas
Shella Agustin,2,11.15.1,2025-09-28 07:10:43,,,ini wp knpa dahhh mau login susah sekalii tolong dong wpppp
Nur Rul,5,11.15.1,2025-09-28 06:36:41,,,"tolong balikin baca wattpad versi offline nya.. 25 doang loh itu, kok tiba-tiba jadi 2 offline:("
ca zuha0.0,1,,2025-09-28 06:24:03,,,makin lama makin ga jls banyak bugnya
Suryani Arta Fedi,4,11.3.1,2025-09-28 05:20:23,,,"aplikasi ini lumayan bagus cuman banyak iklan nya yang dicari kadang muncul kadang enggak tapi gak apa ini aja udh bagus cuman lebih baik iklan nya dikurangi gak terlalu banyak semoga membantu, dan juga kadang-kadang masuk nya lama dan lelet banget, jadinya buat kesel. kadang juga klo misalnya cari sesuatu tentang romance malah yang lain yang muncul"
Kodomo,1,11.9.0,2025-09-28 04:31:35,,,"kenapa sekarang terlalu banyak bug saat menulis, login, dan mengubah profil? saat menulis selalu ada bug terus ""cerita anda di modifikasi di tempat lain"", kadang udah nulis sampai ribuan kata dan draftnya malah hilang. saat mengubah profil selalu ada bug dan pemberitahuan ""akun tidak di temukan"" . tolong di perbaiki karna itu sangat menggangu pengguna wattpad dan terutama penulis."
Nelvira Syahputri,5,11.15.1,2025-09-28 03:40:40,,,"terimakasih ya udah menciptakan aplikasi ini ,ini aplikasi bisa juga wadah untuk kita berkarya dan semoga orang yang suka membaca dan menulis bisa menjadi aplikasi ini nomor 1 untuk mereka"
Adskyakayla Kayla,2,,2025-09-28 02:58:18,,,gak bisa bikin akun padahal sinyal bagus
elvnaskr,2,,2025-09-28 02:50:20,,,"jelek, banyak banget bug nya, udah coba in unistall terus di download lagi tapi malah gabisa login, katanya ""tidak bisa masuk coba lagi nanti (16) kirain 16 detik atau menit gataunya udah 1 bulan gabisa bisa. sebenernya apk nya bagus cuma bug nya aja + iklannya ganggu banget, tolong diperbaiki apk ini udah bagus banget cuma minus di situ aja"
Setya Ananda,1,11.15.1,2025-09-28 02:13:31,,,"""temukan jalan pulang"" ""tidak dpt terhubung ke internet"" gue pke data pke wi-fi full jaringan ttp aja ga bsa ya! lu kenapa elaaah nyebelin bgt sih pas udh update?!!!!!! pdhl tdinya gak, ngambek lu"
Puji Sari Dewi,3,11.15.1,2025-09-27 20:08:50,,,"akun wattpad saya tidak bisa login padahal udak pake wifi ,selalu bermasalah, terlalubanyak ikklan lah dan masalah yg lain"
Daeng Ngugi,4,,2025-09-27 17:19:35,,,yaaa banyak iklan nya doangsih
Nuruull Habibahh,2,,2025-09-27 15:50:03,,,"sebellll bngett banyak iklannya, masak setiap buka satu bab iklan mulu. padahal dulu gak gini"
Marsia Sia,4,,2025-09-27 14:16:15,,,bagusss aku suka aja
bilqis firdaus,1,11.15.1,2025-09-27 12:57:16,,,"kenapa makin kesini performa nya makin buruk ,ga bisa pake wifi harus pake kuota ,tulisannya 'mari kita temukan jalan pulang' trs padahal ada wifi ,ga bisa login 'hubungkan ke internet' padahal wifi masih nyala ,tolong di perbaiki ya"
Kaira Rembulan,5,11.15.1,2025-09-27 12:27:15,,,sangat cocok untuk mengisi waktu luang dan sangat cocok buat aku yg suka membaca🤓
Reksa Bayu,1,,2025-09-27 11:15:24,,,sebagai penulis saya kecewa dengan anda...cerita saya sudah dibaca puluhan ribu orang dapat 2000 lebih vote dalam 6 bulan tiba tiba hilang tanpa pemberitahuan lebih dulu. seharusnya kurator anda bekerja lebih maksimal di awal cerita publish agar tidak membuat kecewa banyak orang...mungkin anda bisa benahi ini
Roisatul Hidayah,2,11.15.1,2025-09-27 11:02:47,,,entah kenapa akun saya yang ada cerita tulisan saya hilang dan perlu mengganti akun baru😡😡😡(capek buat cerita nya woy)
Pengguna Google,1,11.15.1,2025-09-27 10:41:51,,,halo wattpad kenapa ya gak bisa buat buka story ?
Desfitriani Amelia Putri,1,11.15.1,2025-09-27 09:49:10,,,"halo, sebetulnya dari dulu apknya gak ada masalah. tapi kesel juga dari kemarin gak bisa login, udah dicoba di hp sama laptop hasilnya sama aja. padahal sinyal bagus. tolong dibantu ya, ini ada project yang mau aku publikasi😭"
aisyahadeliaa 123 aisyahadeliaa 123,5,11.15.1,2025-09-27 09:47:55,,,aku kasih bintang 4 yaa seruuu
Bagas Prayoga,5,,2025-09-27 06:10:20,,,"haiiiii aku udh bikin dua cerita disini ayo mampir dan baca cerita aku judulnya dibawahhh 1. calix: dark embrace 2. obsessed by blood akun nya itu: (dodolgaruk) vote, komen, dan follow akuu yaaaa!!!"
Nawir Nawir,1,11.15.1,2025-09-27 06:01:26,,,tidak bisa di pakai anj
7gblagi 3,5,,2025-09-27 04:20:09,,,"bagus, cerita cerita disini juga keren keren 👍🏻"
Faiza Izza,1,11.15.1,2025-09-27 01:31:59,,,"ribet pendaftarnya + susah, padahal udah make akun google tapi tetep aja nggak bisa, padahal di situ aku udah nulis tanggal,bulan, tahun lahir sama nama asli ku tapi tetep aja salah, bukannya semakin gampang malah semakin susah pendaftaranya."
Lina Marlina,1,,2025-09-27 00:13:00,,,ga bisa login lagi setelah diuninstal
Theresia Abigail,1,11.15.1,2025-09-26 23:07:04,,,bug ga bisa buka ini gimana?
Rizki Adi,1,,2025-09-26 20:50:40,,,"aplikasi nya buruk, aku udah nulis 900 kata, pas di buka lagi malah ke reset, tolong bug beginian di perhatikan, dan selalu ngasih rekomendasi update sebelum mulai app supaya bugnya gak gitu gitu aja"
Yayanaz AlyaNazwa,4,11.15.1,2025-09-26 17:05:20,,,cerita nya asik
Claudya Angelina,3,11.15.1,2025-09-26 16:20:59,,,seringkali tidak bisa di buka
Masitoh Masitoh,3,11.15.1,2025-09-26 16:12:46,,,"seru sih baca ceritanya, tp ini kenapa eror lg? gx bisa d buka,"
kanaya khalish,2,11.15.1,2025-09-26 16:01:44,,,"sering bug, tlg segera di perbaiki"
Aulynxx95,3,11.15.1,2025-09-26 14:53:16,,,"wattpad ada masalah apa sih? cerita offline yang awalnya ada 25 tiba tiba hilang, cuma ada 2. dan itu gak bisa ditambah lagi, maksimal 2. padahal kan biasanya 25. udah sering ganti akun tapi gitu terus. tolong dong diperbaiki"
ell ngpainkak?,5,,2025-09-26 14:29:26,,,"bagusss, cmnnn adaa sedikitttt bugg, tolong di perbaiki yaaa timakasiii >,< t..t"
Sindi Indah permadani,1,,2025-09-26 13:54:20,,,banyak iklan bjirr
evita dias01,4,,2025-09-26 13:14:54,,,sangatt menarikk
Wanda SitiHamidahA2,1,11.10.0,2025-09-26 13:00:38,,,kenapa gak bisa ke pasang udah diinstal kok tapi kagak ada
Mutia Permatasari,5,11.15.1,2025-09-26 12:18:29,,,bagus saya sangat suka karna bisa di baca walaupun tidak pakai paketan atau data.. tapii yang membuat saya agak sedikit tidak senang karna sekarang udh jarang banget para author buat cerita² baruu
Neany safitri,3,11.15.1,2025-09-26 11:09:24,,,"tolong dong kenapa setiap pakai wi-fi atau data selalu gak bisa tolong diperbaiki seperti semula dong lebih asik wattpad dulu dari pada sekarang, ini pakai data atau wifi malah gak bisa padahal di aplikasi yang lainnya bisa sinyalnya juga bagus"
Hans christian Andersen,3,11.15.1,2025-09-26 10:15:39,,,pas gw ngetik friend or love kenapa yang muncul cerita horor gk sesuai tag dan judul lagi kalau lagi nyari cerita kasih yang benar lah yang sesuai dengan tag kok yang muncul kisah horor tolong diperbaiki
Kk Lover,1,,2025-09-26 07:48:46,,,"i lost most books i painfully collect to read later. are there any new rules from wattpad i don't know that erased books with some criteria? i am sad. i am disappointed. i want to cry. i am crying. should i move on from wattpad? i am so sad... now, even the author gone. i am speechless."
Dhiera Azzahra,2,11.10.0,2025-09-26 07:11:06,,,"susah login,selalu muncul notifikasi aplikasi telah berhenti"
Nasrink Pultas12,3,,2025-09-26 02:10:57,,,lama bngt di download
Tarisa Tasya Maulida,1,11.12.0,2025-09-26 01:52:42,,,eror mulu! di apk mau di web sama!!! 😡
Itah Nurlilah,4,11.15.1,2025-09-26 01:17:14,,,cerita bagus bagus
Nur Rani,2,11.9.0,2025-09-25 22:45:45,,,"wth happened to wattpad recently 😤 error terusss, temukan jalan pulang terus jadinya gak bisa search apapun cuman offline aja kecuali kalau pakai data kayaknya, aku langganan wifi jadi gak bisa! tolong benerin secepatnyaaa"
Lili Veronika,5,11.15.1,2025-09-25 21:10:19,,,"sumpah aku ga tahan lagi sama wattpad kenapa kalian pasangan iklan judol sih kek ga ada iklan lain aja, di mana mana judol gue yang pengen baca jadi nya risih"
Klee,1,,2025-09-25 18:07:17,,,data bocor ke dark web pler
Siti nur karomah,1,11.14.1,2025-09-25 17:06:56,,,"setiap ganti bab selalu iklan,ganggu bgttt ih"
Indira Amara putri,2,11.14.1,2025-09-25 16:19:36,,,"banyak iklan mulu, jadi ga seru bacanya"
Seren Seravina,1,,2025-09-25 15:41:54,,,gk bisa di download
Cahaya Rabia,5,,2025-09-25 14:55:37,,,sangat bagus
Nour Aisha,3,,2025-09-25 14:18:11,,,"wattpad sekarang isinya agak2 yahh, padahal dulu banyak banget buku2 bagus, eh sekarang malah hilang semua tinggal yang gitu2 aja"
Putrikasih Putri,5,11.15.1,2025-09-25 13:18:05,,,halo kakak yang megang enih wattpad dan segala macam perkembangannyaa... please dongg bacaan offline nya di tambah... masa cuma dua saja. misalkan 10 gitu ka... karena kadang lagi diluar dan tidak ada kuota misal kurang suka sama alur kedua story itu bisa ganti... please dong ditambahkan lagi.. dan kenapa setelah di perbarui bentukannya jadi aneh ya.. bagusan yang lama
Siti Fatimatus sahroi,5,11.14.1,2025-09-25 13:17:20,,,apaan sering logout sendiri
Nelia Hd,1,,2025-09-25 12:35:51,,,"udah coba berapa kali buat masuk akun yang dulu pernah saya miliki tapi gak bisa, saya coba buat akun baru malah eror gak bisa buat akun kan kocak ya."
Suci asih,5,11.15.1,2025-09-25 12:20:58,,,judulnya menarik aku suka semua judulnya🥰
lilance,4,11.15.1,2025-09-25 11:41:44,,,aplikasi eror
Erina Nindhya Zahra,4,,2025-09-25 11:35:52,,,aplikasi bagus tapi sering banget harus daftar akun
Ira Harisma,2,11.13.0,2025-09-25 11:14:33,,,"makin ga nyaman pake nya sekarang,gak kepencet tapi tibatiba masuk ke apk shope, sering begitu,mana pas buka update cerita baru,dia malah mulai dari awal kebuka aplikasinya"
Pasu Vera Dolores Sitohang,3,11.15.1,2025-09-25 11:12:10,,,woii ga bisa di buka woi jaringan ku bagus iya aku bukan mau pamer hp ku baru dan juga baru download wp aku kira ga bisa kan terus aku buka lagi di hp ku yang lama bisa woi kenapa dia hp yang baru nya ga bisa aelah🙄🙄 bintang 3 deh untuk sementara
Arana Rara,1,11.15.1,2025-09-25 10:14:04,,,"makin update makin ga jls. pdhl udh lama login malah tiba² di suruh login lagi, pas udh login ga lama di suruh login lg ini maksdunya apaan? udh banyak gonta ganti akun buat login tp tetep aja katanya 'pengguna belum login' semoga kedepannya di perbaiki semua kesalahan ya. udh di titik gedeg karna di suruh login mulu :)"
Nur Aini,3,11.8.0,2025-09-25 10:10:33,,,"kok ini aplikasi ngga bisa di update ya? trus notif2 dri penulis wp udh ga masuk lagi. saya udh 2 tahun pakai aplikasi ini, masa tiba tiba saya hapus karena udah ga bisa kepake lagi? jujur saya ga bisa kalau ga baca aplikasi ini. pihak wattpad yth. tolong buat aplikasi ini kembali berfungsi di perangkat saya🙏🙏"
Beomgyu Choi beomgyu,5,,2025-09-25 09:35:26,,,sangat bagus
Amelia risya,1,11.15.1,2025-09-25 09:21:33,,,kenapa udah 3 hari ini ga bisa di buka? di apk atau di web. bug nya ga ga jelas
Zhu Yasan08,3,,2025-09-25 09:18:48,,,"aplikasinya bagus, ada cerita yang aku cari. tapi iklan waktu mau ke bab selanjutnya itu menyusahkan sekali.. padahal udh nonton iklan tapi engga kegeser ke bab selanjutnya dan harus nonton ulang. kalau bisa hilangi fitur kaya gitu, bikin risih"
Putu Diva ramadani,5,11.15.0,2025-09-25 08:40:44,,,"bagus, banyak cerita yang menarik dan disini kita juga belajar tentang kerasnya di dunia"
Keisha Desfiani,1,,2025-09-25 08:33:59,,,seru abiess
Ajeng_jengjeng09,3,10.55.2,2025-09-25 07:59:05,,,setelah update aku jadi gabisa login dan selalu banyak bug
Satria Dola,1,11.15.1,2025-09-25 07:40:19,,,kenapa tidak bisa buka home nya?mohon dibantu
Febyanti Pertiwi,1,11.15.1,2025-09-25 05:46:25,,,"ko saya daftar tida bisa ya? selalu ada tulisan ""tidak bisa masuk saat ini.silakan coba lagi (16)"" padahal saya sudah mencoba beberapa kali tapi tetap aja ga bisa"
athayaa syaqelaa,1,,2025-09-25 03:43:41,,,"burikkkk sgt sgt burikkkk, login ulang mlh gbsa trs emg burikkkkk👎👎👎"
Ari Yanto,2,11.7.0,2025-09-25 01:54:40,,,lama² nggak jelas aplikasinya. bikin males baca disini
widya assyura,1,,2025-09-25 01:09:15,,,kebanyakan iklan
Hilyah Naifa,5,,2025-09-24 23:55:30,,,bagus banyak ceritanya
Fitri Witin,2,11.14.1,2025-09-24 18:44:41,,,lumayan bgsss
Anisa Dewi,5,11.15.1,2025-09-24 17:20:05,,,"baguss bnget sii di pake buat berkreasi, tuangkan imajinasi disini itu bener bener kayak real gitu, ya walaupun kadang ada gangguan, udh nulis capek capek udh di simpen eh pas di cek hilang, tolong ya ininya di update lagi biar pemakai bisa semakin puas👍👍"
Arnii Afrianii,1,,2025-09-24 15:23:49,,,tbtb error gajelas bacaan semua hilang.tolong diperbaiki secepatnya sistemnya wattpadd
Salma Azzahra,1,11.15.0,2025-09-24 14:08:46,,,"gabisa masuk, gabisa terdaftar"
Zaskia Kia,1,11.15.1,2025-09-24 13:36:50,,,jaringan harus bagus banget padahal di apk lain bagus bagus aja jadi bikin malas buat baca
De Ayu,3,,2025-09-24 13:07:24,,,"ko makin ngelunjak? mau baca offline cuma dikasi 2 cerita, dih apasi orang suka baca malah makin"" disuruh bayarnya dih! balikin baca offline jadi 25 lagi!"
jeongin.i.n straykids,5,,2025-09-24 13:07:04,,,bagus banget
Ayundadwei Dewi,2,10.84.0,2025-09-24 11:23:34,,,"sekarang masuknya ribet dulu aku sempet punya wp daftar nya pake aku ggl tapi ga bisa aku log gatau kenapa, trus klo log itu lamaa banget, mohon untuk developer tolong di perbaiki ya kalo bisa kembaliin wp kaya dulu aja"
A.R KANCIL,1,11.15.1,2025-09-24 10:49:04,,,"udah update masih aja ada tulisan ""mari kita temukan jalan pulang"" sudah 3x di liga out malah eror g bisa masuk sama sekali ini gimana?."
di_ dita024,1,11.15.1,2025-09-24 09:45:35,,,"min, aku udah lama download kenapa tiba2 ada tulisan ulang ulang terus, ini gak sekali 2 kali loh kak tapi yang kali ini bener2 gak bisa loh buat masuk ke aplikasi nya udah logout sendiri, udah aku update juga, di perbaiki lagi ya kak min gimana caranya biar gak logout sendiri gitu? mau masukin akun sama sandi lagi juga gak bisa bahkan buat akun baru juga gak bisa masuk, tolong dijawab ya min!??"
Talenta Vircylia,5,,2025-09-24 09:44:14,,,sangat keren
Risya Nurahyani,3,11.15.1,2025-09-24 05:14:25,,,"makin kesini makin makin, pas buka kenapa di beranda ada "" ulangi"" & "" maru temukan ..."", dan banyak nge bug nya, and hari ini tiap buka wattpad selalu error hp saya ga bisa di touch, paniklah karna hpnya buat kerja juga jadi takut buat buka, tolong diperbaiki ya"
Putri Langsa,3,11.14.1,2025-09-24 05:01:51,,,kenapa ya. banya cerita yang pengen aku baca pas di cari di pencarian malah gaada. kesel tauk. aku udah excited pengen baca malah gaada
Yelisa Lisa,2,,2025-09-24 02:52:15,,,tolong aying lemot amatt masuk wp nya nape dah ruang kgk ada penuh tolong perbaikan lahh
Ari Purnama,1,11.13.0,2025-09-24 02:50:56,,,"apalah wattpqd maķin kesini bukan makin baik, mohon untuk segera di perbaiki"
Siti Kholifah,5,10.57.0,2025-09-24 00:52:39,,,aplikasi yang bagus. ceritanya juga menarik.
Fikri Fitriah,1,,2025-09-23 22:26:10,,,kenapa dengan wattpad sekarang!!! 🙄🙄 udah hapus download terus aplikasi sama aja eror terus ga mau masuk. apa udah ga butuh para pembaca setia cerita di aplikasi wattpad lagi kah????
Win Wiwin,4,,2025-09-23 18:19:28,,,"kenapa setiap buka di website pasti ada aja cerita yg hilang/ ""halaman ini tidak tersedia"" ya? pdhl di hp yg lain masih ada"
Uca Nursah,5,,2025-09-23 16:07:36,,,"bagus banget pliss, tpi sayangnya akun ku kena hack padahal capek bngt buat alur cerita nya 🥲"
Zoe Taylor,5,11.11.1,2025-09-23 15:34:08,,,"gak banget sekarang masa novel online nya cuma bisa dua novel aja yang offline sebelum nya dikurangi cuma bisa 25 novel sekarang cuma 2, sangat beda drastis! saya udah install aplikasi ini 7-/+ benar-benar mengecewakan"
Niken,1,11.14.1,2025-09-23 13:41:07,,,"wp lagi error apa maintenance kahhhh? ini akunnya keluar2 terus, butuh login ulang katanya, sekalinya mo login lagi malah gak bisa login, mau buat akun baru juga gakbisa, maunya apasih woy😬😬😬😬😬"
Kanita Azzahra,5,11.15.0,2025-09-23 12:45:13,,,boleh minta fitur terjemahan dong asalkan bukan fitur premium👉👈
Nikma Ariswari,3,,2025-09-23 11:08:49,,,karena sekarang udah bisa login aku tambahin deh bintangnya
αkβαr •,1,11.15.0,2025-09-23 10:59:23,,,"apk dongo, ga bisa login"
Adinda Maisyarani,3,11.15.0,2025-09-23 09:19:53,,,"dari dulu kayanya masalahnya ini terus, ""tidak ada internet, cari jalan pulang"", ""masalah revisi"" kalo keseringan jadi kesel, tolong ya diperbaiki demi kenyamanan pengguna juga"
yngtw coot,5,11.13.0,2025-09-23 08:36:57,,,suka banget sama ceritanya bikin lupa waktu kalo pas lagi baca
Suidatun Nija,5,,2025-09-23 07:51:15,,,🙏
Nayla Febrianti (nella),1,11.15.0,2025-09-23 06:47:22,,,ga sesuai ekspektasi
Dinia Putri,1,11.15.0,2025-09-23 02:21:06,,,"padahal dulu buku offline nya 25,tapi sekarang cuman 2"
Anna Nd,4,11.14.1,2025-09-23 01:40:24,,,apk baca gratis paling seru. berbagai genre ada dan yang pasti banyak melahirkan karya-karya berkualitas dan juga penulis terkenal. good job wattpad
Nazla Ibnitsalis,3,11.14.1,2025-09-23 01:24:01,,,"bagus sih, cuma suka kadang edan eling, padahal sinyal bagus, wifi juga manteng, tp entah kenapa kek ga bisa gitu ih"
Akhwat Privasi,1,,2025-09-22 23:04:38,,,error parah
Yuna Isti Hani,2,11.15.0,2025-09-22 22:50:26,,,tolong bug nya di perbaiki ya developer ☺
Dimas Saputra,3,11.15.0,2025-09-22 19:41:45,,,"nggk tau nya wattpad sekarang kok tambah aneh"" dulu pas awal unduh apk ini enak aja nggk ada iklan trus bisa baca cerita offline sepuas nya di perpustakaan tanpa batas sekarang kok di batasin jadi 25 eh sekarang malah jadi 2 buku yang bisa di baca offline"
Lara rajj,1,,2025-09-22 16:01:10,,,"apk kntl, novel novelnya ilang semua! gak ngerhagain penulis sama translator nya!! apalagi penggunanya, sekarang banyak banget bugnya, login susahhh banget, tolong optimalkan kan lah!!!"
Restya Sari,1,11.14.1,2025-09-22 14:20:52,,,"wattpad kenapa sih sekarang? suka banget ngelag cerita ku udah sampe chapter 5 tiba tiba hilankkk, pas mau buat cerita baru jg mau di simpen gabisa malah ilang tiba tiba, kesel banget ihhh udah dari lama kayak gini kenapa belum ditangani juga sih? mohon diperbaiki."
Rara Subak,5,11.15.0,2025-09-22 13:55:24,,,bagus kok
alfiana rahman,2,11.14.1,2025-09-22 11:44:45,,,kok sekarang cuman bisa 2 untuk baca offline nya?
Kaikaii _568,5,11.14.1,2025-09-22 11:13:47,,,"gabisa login,plis gw mau bacaaaaaaa."
dita eva selviana,2,11.14.1,2025-09-22 07:26:34,,,"ga jls aplikasi ny. masuk ny lama, kebanyakan iklan jga ditambah sering bug jaringan yg jafi ny logout trs login lgi"
Ota Cantik,3,,2025-09-22 05:49:59,,,ke mana daftarr nya minn
Raudatul Badiah,3,11.14.1,2025-09-22 04:51:33,,,"saran kak supaya pihak pembaca diwajibkan untuk vote dan komentar, kasihan para author kalau banyak siders"
Muhamad Azis,2,11.14.1,2025-09-22 03:29:26,,,kenapa sekarang banyak banget bug nya kemarin saya lagi baca offline terus saya pas online tak buka lagi wattpad nya ko cerita yang ada di perpustakaan hilang semua! ini gimana???
