userName,score,reviewCreatedVersion,at,replyContent,repliedAt,content_clean
Muh Imran Zacky,1,10.73.0,2025-10-05 14:02:25,,,"iklan makin mengganggu, tiba-tiba di alihkan ke laman browser lebih pas lagi serius-seriusnya membaca, tolong pihak developer kurangi dikit lah iklannya, atau seenggaknya jangan di alihkan ke laman lain :v plisssss, wehhh kenapa updatenya malah nambahin warna oranye di status bar, bikin pusing bacanya, tau gak sih warna oranye tuh menarik perhatian jadi kita gak fokus baca ceritanya apalagi kalau malam."
deaymls,5,,2025-10-05 13:17:28,,,ailaikit
Syaiha Bldan,4,11.15.1,2025-10-05 13:14:03,,,"bagus tapi novel ""si karismatik charlie wade"" hanya sampai bab 2000, nanti tolong sediakan yg bab 2000 sampai yg terbaru"
Aku Dewe,1,,2025-10-05 12:54:54,,,"ini banyak update kok malah tambah jelek sih kualitas aplikasinya? banyak banget bug nya, mau nulis atau baca cerita juga ga bisa, saat ku download ulang malah ga bisa bikin akun. udah di coba berkali kali tapi tetep ga bisa buat akun, tolong di perbaiki lagi ya."
Lula Park,3,11.15.1,2025-10-05 12:48:36,,,"kok sekarang makin sering error ya, sinyal dan jaringan bagus tapi gabisa kebuka aplikasinya. pengen baca jadi gak bisa. tolong diperbaiki secepatnya yaaa"
Fitria Azijah,4,11.15.1,2025-10-05 12:12:53,,,"jujur, aplikasinya bagus dan cukup memuaskan. minusnya kenapa suka log out tiba-tiba, udah gitu kalau masuk kembali cerita di draf kadang pada ilang. teruntuk pihak wattpad, tolong diperbaiki yaa cintaaa😇😇😇/soalnya itu bikin kesel. sekian terimakasih."
Annisa Queenzha,5,,2025-10-05 11:01:59,,,"sangat bagus, aku menyukainya"
Irmayanti Sri Rejeki,5,10.28.0,2025-10-05 10:34:52,,,"maaf , ini kenapa ya pas aku mau buat cerita di wp tiba tiba log out gitu . . . mohon untuk dibenerin ya kak"
alicya y.n,5,11.15.1,2025-10-05 10:15:28,,,"beuhh, cerita nya bagus² cuy"
Hafizah Khairani,5,11.15.1,2025-10-05 09:50:03,,,gatau blm nyoba
