content_filtered,1-gram
['ampun'],"[('ampun',)]"
"['offline', 'dimasukin', 'daftar', 'offline', 'internet']","[('offline',), ('dimasukin',), ('daftar',), ('offline',), ('internet',)]"
"['masalah', 'duitin', 'bobrok', 'edit', 'cerita', 'susah', 'lama', 'loadingnya', 'save', 'sejak', 'update', 'takut', 'update', 'bug']","[('masalah',), ('duitin',), ('bobrok',), ('edit',), ('cerita',), ('susah',), ('lama',), ('loadingnya',), ('save',), ('sejak',), ('update',), ('takut',), ('update',), ('bug',)]"
"['naruh', 'link', 'akun', 'update', 'naruh', 'link', 'akun', 'author', 'susah', 'naruh', 'link', 'baca', 'cerita', 'chapternya', 'taruh', 'karyak', 'rs', 'dibalikin', 'bintang', 'as', 'in']","[('naruh',), ('link',), ('akun',), ('update',), ('naruh',), ('link',), ('akun',), ('author',), ('susah',), ('naruh',), ('link',), ('baca',), ('cerita',), ('chapternya',), ('taruh',), ('karyak',), ('rs',), ('dibalikin',), ('bintang',), ('as',), ('in',)]"
"['masalah', 'sinyal', 'beranda', 'nunjukin', 'sinyal', 'jelek', 'gonta', 'data', 'wifi', 'gabisa', 'perbaikin', 'kuali', 'tas', 'lama', 'jelek']","[('masalah',), ('sinyal',), ('beranda',), ('nunjukin',), ('sinyal',), ('jelek',), ('gonta',), ('data',), ('wifi',), ('gabisa',), ('perbaikin',), ('kuali',), ('tas',), ('lama',), ('jelek',)]"
"['susah', 'daftar', 'nyaa', 'kata', 'sandi', 'susahh', 'baget']","[('susah',), ('daftar',), ('nyaa',), ('kata',), ('sandi',), ('susahh',), ('baget',)]"
"['iklan', 'iklan']","[('iklan',), ('iklan',)]"
[],[]
"['masuk', 'akun']","[('masuk',), ('akun',)]"
"['hibur', 'tani', 'lopyu']","[('hibur',), ('tani',), ('lopyu',)]"
"['bug', 'fitur', 'cari', 'kalah', 'saing']","[('bug',), ('fitur',), ('cari',), ('kalah',), ('saing',)]"
"['kpn', 'masuk', 'ganguan', 'bntu']","[('kpn',), ('masuk',), ('ganguan',), ('bntu',)]"
"['aneh', 'cerita', 'underrated', 'sedang', 'cerita', 'pasar', 'rating', 'atas']","[('aneh',), ('cerita',), ('underrated',), ('sedang',), ('cerita',), ('pasar',), ('rating',), ('atas',)]"
"['bug', 'error']","[('bug',), ('error',)]"
"['vote', 'error', 'revisi']","[('vote',), ('error',), ('revisi',)]"
"['tagih', 'klik', 'an', 'playstore', 'iklan', 'iseng', 'klik', 'an', 'bkal', 'tulis', 'an', 'ambil', 'uang', 'awas', 'kluar', 'uang']","[('tagih',), ('klik',), ('an',), ('playstore',), ('iklan',), ('iseng',), ('klik',), ('an',), ('bkal',), ('tulis',), ('an',), ('ambil',), ('uang',), ('awas',), ('kluar',), ('uang',)]"
"['tulis', 'bab', 'draft', 'publish', 'blokir', 'akun', 'cerita', 'hilang', 'kejap', 'ye', 'bal', 'sungguh', 'rasa', 'muak', 'olah', 'olah', 'main']","[('tulis',), ('bab',), ('draft',), ('publish',), ('blokir',), ('akun',), ('cerita',), ('hilang',), ('kejap',), ('ye',), ('bal',), ('sungguh',), ('rasa',), ('muak',), ('olah',), ('olah',), ('main',)]"
"['suka', 'kuota', 'baca', 'offline']","[('suka',), ('kuota',), ('baca',), ('offline',)]"
"['bug', 'wifi', 'sinyal', 'login']","[('bug',), ('wifi',), ('sinyal',), ('login',)]"
"['suatu', 'fitur', 'bahasa']","[('suatu',), ('fitur',), ('bahasa',)]"
"['baca', 'offline']","[('baca',), ('offline',)]"
