content_filtered,1-gram
"['favorit', 'baca', 'novel', 'nulis', 'novel', 'waktu', 'luang', 'lama', 'upgrade', 'downgrade', 'bug', 'kata', 'internet', 'wifi', 'baik', 'baik', 'problem', 'ulas', 'bug', 'lama', 'maju', 'kritik', 'kritik', 'anggap', 'baik']","[('favorit',), ('baca',), ('novel',), ('nulis',), ('novel',), ('waktu',), ('luang',), ('lama',), ('upgrade',), ('downgrade',), ('bug',), ('kata',), ('internet',), ('wifi',), ('baik',), ('baik',), ('problem',), ('ulas',), ('bug',), ('lama',), ('maju',), ('kritik',), ('kritik',), ('anggap',), ('baik',)]"
"['bis', 'daftar', 'error']","[('bis',), ('daftar',), ('error',)]"
['masuk'],"[('masuk',)]"
"['seru', 'baca', 'iklan', 'bayar', 'cerita', 'seru', 'lanjutin']","[('seru',), ('baca',), ('iklan',), ('bayar',), ('cerita',), ('seru',), ('lanjutin',)]"
"['buruk', 'update', 'kualitas', 'baca', 'offline', 'crta', 'jauh', 'skli', 'sblm', 'baca', 'cerita', 'offline', 'baca', 'crta', 'suka', 'website', 'gabisa', 'versi', 'percaya', 'seru']","[('buruk',), ('update',), ('kualitas',), ('baca',), ('offline',), ('crta',), ('jauh',), ('skli',), ('sblm',), ('baca',), ('cerita',), ('offline',), ('baca',), ('crta',), ('suka',), ('website',), ('gabisa',), ('versi',), ('percaya',), ('seru',)]"
"['kapan', 'cepat', 'baik', 'in', 'doong']","[('kapan',), ('cepat',), ('baik',), ('in',), ('doong',)]"
"['iklan', 'bentar', 'bentar', 'iklan', 'mua', 'baik']","[('iklan',), ('bentar',), ('bentar',), ('iklan',), ('mua',), ('baik',)]"
"['kapan', 'baik']","[('kapan',), ('baik',)]"
['iklan'],"[('iklan',)]"
"['login', 'nyoba', 'slama', 'sminggu', 'masuk']","[('login',), ('nyoba',), ('slama',), ('sminggu',), ('masuk',)]"
"['jelek', 'suka', 'vitur', 'wetty', 'hilang']","[('jelek',), ('suka',), ('vitur',), ('wetty',), ('hilang',)]"
"['update', 'masuk']","[('update',), ('masuk',)]"
"['seru', 'maisha', 'error', 'bug', 'ngeselin']","[('seru',), ('maisha',), ('error',), ('bug',), ('ngeselin',)]"
"['offline', 'loading', 'ribet']","[('offline',), ('loading',), ('ribet',)]"
"['iklan', 'laman', 'browser', 'baca', 'developer', 'iklan', 'seen', 'gg', 'laman', 'weh', 'update', 'nambahin', 'warna', 'oranye', 'status', 'bar', 'pusing', 'baca', 'warna', 'oranye', 'perhati', 'fokus', 'baca', 'cerita', 'malam']","[('iklan',), ('laman',), ('browser',), ('baca',), ('developer',), ('iklan',), ('seen',), ('gg',), ('laman',), ('weh',), ('update',), ('nambahin',), ('warna',), ('oranye',), ('status',), ('bar',), ('pusing',), ('baca',), ('warna',), ('oranye',), ('perhati',), ('fokus',), ('baca',), ('cerita',), ('malam',)]"
['ailaikit'],"[('ailaikit',)]"
"['novel', 'karismatik', 'charlie', 'wade', 'bab', 'bab']","[('novel',), ('karismatik',), ('charlie',), ('wade',), ('bab',), ('bab',)]"
"['update', 'jelek', 'kualitas', 'as', 'in', 'bug', 'nulis', 'baca', 'cerita', 'simpan', 'akun', 'akun', 'baik']","[('update',), ('jelek',), ('kualitas',), ('as',), ('in',), ('bug',), ('nulis',), ('baca',), ('cerita',), ('simpan',), ('akun',), ('akun',), ('baik',)]"
"['error', 'sinyal', 'jaring', 'gabisa', 'as', 'in', 'baca', 'baik', 'cepat', 'ya']","[('error',), ('sinyal',), ('jaring',), ('gabisa',), ('as',), ('in',), ('baca',), ('baik',), ('cepat',), ('ya',)]"
"['as', 'in', 'muas', 'minus', 'suka', 'login', 'out', 'masuk', 'cerita', 'draft', 'hilang', 'baik', 'cinta', 'kesel']","[('as',), ('in',), ('muas',), ('minus',), ('suka',), ('login',), ('out',), ('masuk',), ('cerita',), ('draft',), ('hilang',), ('baik',), ('cinta',), ('kesel',)]"
['yukai'],"[('yukai',)]"
"['cerita', 'login', 'out']","[('cerita',), ('login',), ('out',)]"
"['beuhh', 'cerita', 'cuy']","[('beuhh',), ('cerita',), ('cuy',)]"
"['blm', 'nyoba']","[('blm',), ('nyoba',)]"
"['mantengin', 'slalu', 'celah', 'wadah', 'kreativ', 'it', 'as', 'anak', 'bangsa', 'pokok']","[('mantengin',), ('slalu',), ('celah',), ('wadah',), ('kreativ',), ('it',), ('as',), ('anak',), ('bangsa',), ('pokok',)]"
['iklan'],"[('iklan',)]"
[],[]
"['aneh', 'internet', 'nyambung', 'dowload', 'akun', 'as', 'in', 'baik']","[('aneh',), ('internet',), ('nyambung',), ('dowload',), ('akun',), ('as',), ('in',), ('baik',)]"
['iklan'],"[('iklan',)]"
"['suka', 'lama', 'langgan']","[('suka',), ('lama',), ('langgan',)]"
"['bintang', 'jaring', 'wifi', 'jelek', 'sungguh', 'kecewa']","[('bintang',), ('jaring',), ('wifi',), ('jelek',), ('sungguh',), ('kecewa',)]"
"['beranda', 'daftar', 'baca', 'gabisa', 'kata', 'internet', 'sinyal', 'kenceng', 'baik']","[('beranda',), ('daftar',), ('baca',), ('gabisa',), ('kata',), ('internet',), ('sinyal',), ('kenceng',), ('baik',)]"
"['aneh', 'login', 'google', 'mlah', 'tungguin', 'ampe', 'sore', 'ampe', 'besok', 'gabisa', 'login', 'aneh']","[('aneh',), ('login',), ('google',), ('mlah',), ('tungguin',), ('ampe',), ('sore',), ('ampe',), ('besok',), ('gabisa',), ('login',), ('aneh',)]"
"['bug', 'fak']","[('bug',), ('fak',)]"
"['woii', 'erorr', 'login', 'jaring', 'baik', 'baik', 'bug', 'mauu', 'baca', 'susah', 'weh']","[('woii',), ('erorr',), ('login',), ('jaring',), ('baik',), ('baik',), ('bug',), ('mauu',), ('baca',), ('susah',), ('weh',)]"
"['ragu', 'best', 'poko']","[('ragu',), ('best',), ('poko',)]"
['waw'],"[('waw',)]"
"['update', 'burik']","[('update',), ('burik',)]"
"['iklan', 'muluu']","[('iklan',), ('muluu',)]"
"['iklan', 'nonton', 'iklan', 'awal', 'jeng', 'kel', 'baca', 'wifi', 'nontonin', 'iklan', 'bab', 'iklan', 'pret', 'ogah', 'baca', 'anj']","[('iklan',), ('nonton',), ('iklan',), ('awal',), ('jeng',), ('kel',), ('baca',), ('wifi',), ('nontonin',), ('iklan',), ('bab',), ('iklan',), ('pret',), ('ogah',), ('baca',), ('anj',)]"
['suka'],"[('suka',)]"
"['login', 'web', 'server', 'down']","[('login',), ('web',), ('server',), ('down',)]"
['error'],"[('error',)]"
['hibur'],"[('hibur',)]"
"['suka', 'cerita', 'lag', 'lama', 'lag', 'pdhal', 'wifi', 'ktnya', 'internet']","[('suka',), ('cerita',), ('lag',), ('lama',), ('lag',), ('pdhal',), ('wifi',), ('ktnya',), ('internet',)]"
"['heh', 'awas', 'bintang', 'akun', 'off', 'waktu', 'login', 'cerita', 'hilang', 'hampir', 'bab', 'amat', 'pulihin']","[('heh',), ('awas',), ('bintang',), ('akun',), ('off',), ('waktu',), ('login',), ('cerita',), ('hilang',), ('hampir',), ('bab',), ('amat',), ('pulihin',)]"
"['lama', 'waktu', 'upload', 'image', 'bug', 'upload', 'samsek', 'uninstall', 'tutorial', 'yt', 'famous', 'asli', 'upgrade', 'main', 'baik', 'suka', 'baca', 'kreasi', 'thanks']","[('lama',), ('waktu',), ('upload',), ('image',), ('bug',), ('upload',), ('samsek',), ('uninstall',), ('tutorial',), ('yt',), ('famous',), ('asli',), ('upgrade',), ('main',), ('baik',), ('suka',), ('baca',), ('kreasi',), ('thanks',)]"
[],[]
"['dapet', 'cerita', 'dewasa', 'modern']","[('dapet',), ('cerita',), ('dewasa',), ('modern',)]"
"['error', 'populer', 'kikir']","[('error',), ('populer',), ('kikir',)]"
"['gabisa', 'cerita', 'draft', 'hilang', 'bug', 'baik']","[('gabisa',), ('cerita',), ('draft',), ('hilang',), ('bug',), ('baik',)]"
"['basa', 'basi', 'inti', 'oren', 'dunia']","[('basa',), ('basi',), ('inti',), ('oren',), ('dunia',)]"
['seru'],"[('seru',)]"
"['iklan', 'bab', 'dulunya', 'iklan', 'bab', 'update', 'waktu', 'masuk', 'lama']","[('iklan',), ('bab',), ('dulunya',), ('iklan',), ('bab',), ('update',), ('waktu',), ('masuk',), ('lama',)]"
"['sejak', 'bug', 'tutup', 'awal']","[('sejak',), ('bug',), ('tutup',), ('awal',)]"
"['baik', 'scroll', 'pustaka', 'awal', 'novel', 'update', 'beranda', 'awal', 'baik', 'bug']","[('baik',), ('scroll',), ('pustaka',), ('awal',), ('novel',), ('update',), ('beranda',), ('awal',), ('baik',), ('bug',)]"
"['login', 'tetapi']","[('login',), ('tetapi',)]"
"['login', 'out', 'bug', 'baca', 'baik', 'suka', 'login', 'out', 'email', 'bug', 'error', 'login', 'out', 'baik']","[('login',), ('out',), ('bug',), ('baca',), ('baik',), ('suka',), ('login',), ('out',), ('email',), ('bug',), ('error',), ('login',), ('out',), ('baik',)]"
"['akun', 'hilang', 'masuk', 'akun', 'error', 'baca', 'cerita', 'ehh', 'masuk', 'perbaikin', 'baca', 'gabisa', 'masuk']","[('akun',), ('hilang',), ('masuk',), ('akun',), ('error',), ('baca',), ('cerita',), ('ehh',), ('masuk',), ('perbaikin',), ('baca',), ('gabisa',), ('masuk',)]"
"['suka', 'baca', 'nyaman', 'ngawur', 'bug', 'tulis', 'hilang', 'waktu', 'cerita', 'update', 'keluar', 'kentang', 'dev', 'baik', 'nyaman', 'oh', 'bintang', 'kecewa']","[('suka',), ('baca',), ('nyaman',), ('ngawur',), ('bug',), ('tulis',), ('hilang',), ('waktu',), ('cerita',), ('update',), ('keluar',), ('kentang',), ('dev',), ('baik',), ('nyaman',), ('oh',), ('bintang',), ('kecewa',)]"
"['najis', 'keluar', 'akun', 'login', 'najis', 'cuh']","[('najis',), ('keluar',), ('akun',), ('login',), ('najis',), ('cuh',)]"
"['media', 'menya', 'lurk', 'an', 'bakat', 'gratis']","[('media',), ('menya',), ('lurk',), ('an',), ('bakat',), ('gratis',)]"
[],[]
"['ah', 'sampah', 'login', 'hina', 'login', 'sampah', 'bau', 'tulis', 'internet', 'wifi', 'mantap', 'poll', 'internet', 'buta', 'mata', 'mu', 'stres']","[('ah',), ('sampah',), ('login',), ('hina',), ('login',), ('sampah',), ('bau',), ('tulis',), ('internet',), ('wifi',), ('mantap',), ('poll',), ('internet',), ('buta',), ('mata',), ('mu',), ('stres',)]"
"['mes', 'suka', 'bug']","[('mes',), ('suka',), ('bug',)]"
"['semenjak', 'cerita']","[('semenjak',), ('cerita',)]"
"['platform', 'tulis', 'suka', 'penjuru', 'dunia', 'cerita', 'hidup', 'baca', 'tulis', 'cerita', 'orisinal', 'bahasa', 'platform', 'cerita', 'sosial', 'meng', 'hub', 'ung', 'komunitas', 'global', 'kuat', 'cerita', 'simpan', 'baca', 'tulis', 'gabung', 'anggota', 'komunitas', 'cinta', 'cerita', 'internasional', 'baca', 'tulis', 'antusias', 'komentar', 'cerita', 'baca', 'da']","[('platform',), ('tulis',), ('suka',), ('penjuru',), ('dunia',), ('cerita',), ('hidup',), ('baca',), ('tulis',), ('cerita',), ('orisinal',), ('bahasa',), ('platform',), ('cerita',), ('sosial',), ('meng',), ('hub',), ('ung',), ('komunitas',), ('global',), ('kuat',), ('cerita',), ('simpan',), ('baca',), ('tulis',), ('gabung',), ('anggota',), ('komunitas',), ('cinta',), ('cerita',), ('internasional',), ('baca',), ('tulis',), ('antusias',), ('komentar',), ('cerita',), ('baca',), ('da',)]"
"['masuk', 'keluar', 'keluar', 'suka', 'hapus', 'donwload', 'masuk']","[('masuk',), ('keluar',), ('keluar',), ('suka',), ('hapus',), ('donwload',), ('masuk',)]"
"['login', 'in']","[('login',), ('in',)]"
"['bug', 'ngeleg', 'smnjk', 'diupdate', 'update', 'lama', 'loadingnya', 'jaring', 'cerita', 'offline', 'wktu', 'baik', 'gbsa', 'luas', 'bca', 'cerita']","[('bug',), ('ngeleg',), ('smnjk',), ('diupdate',), ('update',), ('lama',), ('loadingnya',), ('jaring',), ('cerita',), ('offline',), ('wktu',), ('baik',), ('gbsa',), ('luas',), ('bca',), ('cerita',)]"
"['apikasinya', 'wifi']","[('apikasinya',), ('wifi',)]"
"['susah', 'bab']","[('susah',), ('bab',)]"
"['error', 'masuk']","[('error',), ('masuk',)]"
"['sinyal', 'sana', 'sinyal']","[('sinyal',), ('sana',), ('sinyal',)]"
"['cerita', 'seru', 'aneh', 'tulis', 'notifikasi', 'lonceng', 'bell', 'reset', 'aneh']","[('cerita',), ('seru',), ('aneh',), ('tulis',), ('notifikasi',), ('lonceng',), ('bell',), ('reset',), ('aneh',)]"
"['hapus', 'seru', 'baca', 'besok', 'cerita', 'hapus', 'paham']","[('hapus',), ('seru',), ('baca',), ('besok',), ('cerita',), ('hapus',), ('paham',)]"
"['nambah', 'nambah', 'bug', 'suka', 'keluar', 'notifikasi', 'layar', 'utama', 'cerita']","[('nambah',), ('nambah',), ('bug',), ('suka',), ('keluar',), ('notifikasi',), ('layar',), ('utama',), ('cerita',)]"
"['offline', 'ambil', 'premium', 'cerita', 'bayar', 'premium', 'ujung', 'cerita', 'jual', 'tulis', 'dijadiin', 'bahan', 'jual', 'njir', 'lama', 'enak', 'baca', 'novel', 'baca', 'online', 'iklan', 'bangat', 'halaman', 'iklan']","[('offline',), ('ambil',), ('premium',), ('cerita',), ('bayar',), ('premium',), ('ujung',), ('cerita',), ('jual',), ('tulis',), ('dijadiin',), ('bahan',), ('jual',), ('njir',), ('lama',), ('enak',), ('baca',), ('novel',), ('baca',), ('online',), ('iklan',), ('bangat',), ('halaman',), ('iklan',)]"
"['bug', 'jaring', 'baik']","[('bug',), ('jaring',), ('baik',)]"
['approve'],"[('approve',)]"
"['daftar', 'masalah', 'daftar', 'anjay']","[('daftar',), ('masalah',), ('daftar',), ('anjay',)]"
"['bug', 'masak', 'daftar', 'daftar']","[('bug',), ('masak',), ('daftar',), ('daftar',)]"
"['sii', 'masuk', 'nyaa']","[('sii',), ('masuk',), ('nyaa',)]"
"['as', 'in', 'orng', 'suka', 'baca', 'tulis', 'sngt', 'suka', 'as', 'in', 'majin', 'as', 'suka', 'fiksi']","[('as',), ('in',), ('orng',), ('suka',), ('baca',), ('tulis',), ('sngt',), ('suka',), ('as',), ('in',), ('majin',), ('as',), ('suka',), ('fiksi',)]"
"['fitur', 'baca', 'offline', 'bagain', 'nulisnya', 'lengkap', 'baca', 'tulis', 'pasang', 'poto', 'profil', 'masuk', 'poto', 'gambar', 'cerita', 'bab', 'fitur', 'crop', 'yes', 'uai', 'ukur', 'tulis', 'gem', 'bang', 'cerita']","[('fitur',), ('baca',), ('offline',), ('bagain',), ('nulisnya',), ('lengkap',), ('baca',), ('tulis',), ('pasang',), ('poto',), ('profil',), ('masuk',), ('poto',), ('gambar',), ('cerita',), ('bab',), ('fitur',), ('crop',), ('yes',), ('uai',), ('ukur',), ('tulis',), ('gem',), ('bang',), ('cerita',)]"
"['masalah', 'proses', 'revisi', 'cerita', 'simpan', 'revisi', 'tulis', 'edit', 'bab', 'asal', 'perangkat', 'an', 'edit', 'perangkat', 'silah', 'revisi', 'simpan', 'es', 'alkan', 'nulis', 'perangkat', 'pulih', 'revisi', 'umum', 'frustasi', 'rusak']","[('masalah',), ('proses',), ('revisi',), ('cerita',), ('simpan',), ('revisi',), ('tulis',), ('edit',), ('bab',), ('asal',), ('perangkat',), ('an',), ('edit',), ('perangkat',), ('silah',), ('revisi',), ('simpan',), ('es',), ('alkan',), ('nulis',), ('perangkat',), ('pulih',), ('revisi',), ('umum',), ('frustasi',), ('rusak',)]"
"['kirain', 'update', 'bug', 'baca', 'up', 'cerita', 'keluar', 'baik', 'baik']","[('kirain',), ('update',), ('bug',), ('baca',), ('up',), ('cerita',), ('keluar',), ('baik',), ('baik',)]"
['suka'],"[('suka',)]"
"['gtw', 'akhir', 'suka', 'lag', 'keluar', 'akun', 'cpt', 'baik']","[('gtw',), ('akhir',), ('suka',), ('lag',), ('keluar',), ('akun',), ('cpt',), ('baik',)]"
['suka'],"[('suka',)]"
"['tim', 'protes', 'letak', 'yaitu', 'buah', 'cerita', 'cerita', 'simpan', 'cerita', 'hilang', 'tim', 'baik', 'buah', 'bug', 'du', 'kung', 'dukung', 'karya', 'tulis']","[('tim',), ('protes',), ('letak',), ('yaitu',), ('buah',), ('cerita',), ('cerita',), ('simpan',), ('cerita',), ('hilang',), ('tim',), ('baik',), ('buah',), ('bug',), ('du',), ('kung',), ('dukung',), ('karya',), ('tulis',)]"
"['cerita', 'offline', 'bjir', 'asa']","[('cerita',), ('offline',), ('bjir',), ('asa',)]"
"['bug', 'draft', 'hilang', 'untung', 'web', 'nyoba', 'hapus', 'simpan', 'samsek', 'keluar']","[('bug',), ('draft',), ('hilang',), ('untung',), ('web',), ('nyoba',), ('hapus',), ('simpan',), ('samsek',), ('keluar',)]"
[],[]
"['daftar', 'online', 'batas', 'daftar', 'online', 'bintang', 'lima', 'sorot']","[('daftar',), ('online',), ('batas',), ('daftar',), ('online',), ('bintang',), ('lima',), ('sorot',)]"
"['baik', 'bug', 'salin', 'paragraf', 'lag', 'males']","[('baik',), ('bug',), ('salin',), ('paragraf',), ('lag',), ('males',)]"
"['gabisa', 'simpan']","[('gabisa',), ('simpan',)]"
"['baca', 'boring', 'buku', 'simpan', 'hilang', 're', 'komen', 'dasi', 'novel', 'genre', 'novel', 'lengkap']","[('baca',), ('boring',), ('buku',), ('simpan',), ('hilang',), ('re',), ('komen',), ('dasi',), ('novel',), ('genre',), ('novel',), ('lengkap',)]"
"['perhati', 'kuota', 'baca', 'baca', 'hemat', 'nonton', 'tt', 'baca', 'cerita', 'masalah', 'kouta']","[('perhati',), ('kuota',), ('baca',), ('baca',), ('hemat',), ('nonton',), ('tt',), ('baca',), ('cerita',), ('masalah',), ('kouta',)]"
"['suka', 'gagal', 'login', 'in', 'informasi', 'on', 'toll']","[('suka',), ('gagal',), ('login',), ('in',), ('informasi',), ('on',), ('toll',)]"
"['gabisa', 'login']","[('gabisa',), ('login',)]"
[],[]
"['ngetik', 'simpan', 'draft', 'hilang']","[('ngetik',), ('simpan',), ('draft',), ('hilang',)]"
"['seru', 'bug', 'keluar', 'login', 'update', 'hapus', 'chace']","[('seru',), ('bug',), ('keluar',), ('login',), ('update',), ('hapus',), ('chace',)]"
"['chu', 'pao', 'la', 'ma', 'pi', 'ba', 'gu', 'shi']","[('chu',), ('pao',), ('la',), ('ma',), ('pi',), ('ba',), ('gu',), ('shi',)]"
"['tulis', 'cerita', 'sinyal', 'simpan', 'hapus']","[('tulis',), ('cerita',), ('sinyal',), ('simpan',), ('hapus',)]"
"['baca', 'cerita', 'save', 'cerita', 'bakal', 'baca', 'offline', 'cerita', 'save', 'bab', 'nyalain', 'wifi', 'paket', 'data']","[('baca',), ('cerita',), ('save',), ('cerita',), ('bakal',), ('baca',), ('offline',), ('cerita',), ('save',), ('bab',), ('nyalain',), ('wifi',), ('paket',), ('data',)]"
"['very', 'good', 'application', 'could', 'you', 'create', 'an', 'official', 'website', 'or', 'allow', 'the', 'website', 'use', 'to', 'change', 'the', 'background', 'to', 'black', 'not', 'very', 'comfortable', 'with', 'white', 'background', 'because', 'it', 'hurts', 'my', 'eyes', 'and', 'also', 'not', 'very', 'comfortable', 'reading', 'english', 'stories', 'without', 'translations', 'it', 'not', 'very', 'pleasant', 'because', 'always', 'feel', 'like', 'misunderstanding', 'every', 'word', 'when', 'reading', 'so', 'just', 'need', 'translations', 'or', 'can', 'you', 'update', 'can', 'translations']","[('very',), ('good',), ('application',), ('could',), ('you',), ('create',), ('an',), ('official',), ('website',), ('or',), ('allow',), ('the',), ('website',), ('use',), ('to',), ('change',), ('the',), ('background',), ('to',), ('black',), ('not',), ('very',), ('comfortable',), ('with',), ('white',), ('background',), ('because',), ('it',), ('hurts',), ('my',), ('eyes',), ('and',), ('also',), ('not',), ('very',), ('comfortable',), ('reading',), ('english',), ('stories',), ('without',), ('translations',), ('it',), ('not',), ('very',), ('pleasant',), ('because',), ('always',), ('feel',), ('like',), ('misunderstanding',), ('every',), ('word',), ('when',), ('reading',), ('so',), ('just',), ('need',), ('translations',), ('or',), ('can',), ('you',), ('update',), ('can',), ('translations',)]"
"['simpan', 'meng', 'hantu', 'iku', 'gr', 'gr', 'au', 'anak', 'motor', 'yee']","[('simpan',), ('meng',), ('hantu',), ('iku',), ('gr',), ('gr',), ('au',), ('anak',), ('motor',), ('yee',)]"
"['suka', 'bug']","[('suka',), ('bug',)]"
"['dev', 'jd', 'susah', 'draft', 'cerita', 'restard', 'login', 'masuk', 'tolongin', 'prnh', 'bnyk', 'kendala', 'bkn', 'pusing']","[('dev',), ('jd',), ('susah',), ('draft',), ('cerita',), ('restard',), ('login',), ('masuk',), ('tolongin',), ('prnh',), ('bnyk',), ('kendala',), ('bkn',), ('pusing',)]"
['apj'],"[('apj',)]"
"['fitur', 'eliminasi', 'nama', 'pokok', 'fitur', 'milih', 'genre', 'genre', 'muak', 'trans', 'migra', 'pin', 'dahan', 'jiwa', 'genre', 'nyempil', 'cari', 'atas', 'cerita', 'timbun', 'iklan', 'frustasi', 'minimal', 'iklan', 'arggh', 'gulir', 'iklan']","[('fitur',), ('eliminasi',), ('nama',), ('pokok',), ('fitur',), ('milih',), ('genre',), ('genre',), ('muak',), ('trans',), ('migra',), ('pin',), ('dahan',), ('jiwa',), ('genre',), ('nyempil',), ('cari',), ('atas',), ('cerita',), ('timbun',), ('iklan',), ('frustasi',), ('minimal',), ('iklan',), ('arggh',), ('gulir',), ('iklan',)]"
"['seru', 'poko']","[('seru',), ('poko',)]"
"['baik', 'bug', 'rada', 'sebel', 'yaitu', 'suka', 'login', 'login', 'komentar', 'notif', 'suka', 'ngilang', 'admin', 'baik']","[('baik',), ('bug',), ('rada',), ('sebel',), ('yaitu',), ('suka',), ('login',), ('login',), ('komentar',), ('notif',), ('suka',), ('ngilang',), ('admin',), ('baik',)]"
"['buku', 'hilang', 'ngeselin']","[('buku',), ('hilang',), ('ngeselin',)]"
"['bintang', 'login', 'error', 'masuk']","[('bintang',), ('login',), ('error',), ('masuk',)]"
"['seringg', 'error', 'ah', 'ngeselin']","[('seringg',), ('error',), ('ah',), ('ngeselin',)]"
"['daftar', 'nyoba']","[('daftar',), ('nyoba',)]"
"['gmna', 'sinyal', 'wifi', 'data', 'cache', 'baca', 'periksa', 'jaring', 'jaring', 'masalah', 'masalah', 'server', 'gmna']","[('gmna',), ('sinyal',), ('wifi',), ('data',), ('cache',), ('baca',), ('periksa',), ('jaring',), ('jaring',), ('masalah',), ('masalah',), ('server',), ('gmna',)]"
['offline'],"[('offline',)]"
"['batas', 'offline']","[('batas',), ('offline',)]"
"['seru', 'suka']","[('seru',), ('suka',)]"
"['nulis', 'publis', 'email', 'akun', 'kata', 'sandi', 'syarat', 'ngeselin', 'nomor', 'teks', 'hadeehh']","[('nulis',), ('publis',), ('email',), ('akun',), ('kata',), ('sandi',), ('syarat',), ('ngeselin',), ('nomor',), ('teks',), ('hadeehh',)]"
"['kecewa', 'draft', 'cerita', 'hilang', 'gabisa']","[('kecewa',), ('draft',), ('cerita',), ('hilang',), ('gabisa',)]"
['lag'],"[('lag',)]"
"['bug', 'update', 'diupdate']","[('bug',), ('update',), ('diupdate',)]"
['solusi'],"[('solusi',)]"
[],[]
"['kekny', 'bug', 'ceeita', 'tulis', 'cerita', 'blm', 'baca', 'hilang', 'kacau', 'kacau']","[('kekny',), ('bug',), ('ceeita',), ('tulis',), ('cerita',), ('blm',), ('baca',), ('hilang',), ('kacau',), ('kacau',)]"
"['gagal', 'bkin', 'akun', 'mlu']","[('gagal',), ('bkin',), ('akun',), ('mlu',)]"
