content_filtered,2-gram
"['iklan', 'laman', 'browser', 'baca', 'developer', 'iklan', 'seen', 'gg', 'laman', 'weh', 'update', 'nambahin', 'warna', 'oranye', 'status', 'bar', 'pusing', 'baca', 'warna', 'oranye', 'perhati', 'fokus', 'baca', 'cerita', 'malam']","[('iklan', 'laman'), ('laman', 'browser'), ('browser', 'baca'), ('baca', 'developer'), ('developer', 'iklan'), ('iklan', 'seen'), ('seen', 'gg'), ('gg', 'laman'), ('laman', 'weh'), ('weh', 'update'), ('update', 'nambahin'), ('nambahin', 'warna'), ('warna', 'oranye'), ('oranye', 'status'), ('status', 'bar'), ('bar', 'pusing'), ('pusing', 'baca'), ('baca', 'warna'), ('warna', 'oranye'), ('oranye', 'perhati'), ('perhati', 'fokus'), ('fokus', 'baca'), ('baca', 'cerita'), ('cerita', 'malam')]"
['ailaikit'],[]
"['novel', 'karismatik', 'charlie', 'wade', 'bab', 'bab']","[('novel', 'karismatik'), ('karismatik', 'charlie'), ('charlie', 'wade'), ('wade', 'bab'), ('bab', 'bab')]"
"['update', 'jelek', 'kualitas', 'as', 'in', 'bug', 'nulis', 'baca', 'cerita', 'simpan', 'akun', 'akun', 'baik']","[('update', 'jelek'), ('jelek', 'kualitas'), ('kualitas', 'as'), ('as', 'in'), ('in', 'bug'), ('bug', 'nulis'), ('nulis', 'baca'), ('baca', 'cerita'), ('cerita', 'simpan'), ('simpan', 'akun'), ('akun', 'akun'), ('akun', 'baik')]"
"['error', 'sinyal', 'jaring', 'gabisa', 'as', 'in', 'baca', 'baik', 'cepat', 'ya']","[('error', 'sinyal'), ('sinyal', 'jaring'), ('jaring', 'gabisa'), ('gabisa', 'as'), ('as', 'in'), ('in', 'baca'), ('baca', 'baik'), ('baik', 'cepat'), ('cepat', 'ya')]"
"['as', 'in', 'muas', 'minus', 'suka', 'login', 'out', 'masuk', 'cerita', 'draft', 'hilang', 'baik', 'cinta', 'kesel']","[('as', 'in'), ('in', 'muas'), ('muas', 'minus'), ('minus', 'suka'), ('suka', 'login'), ('login', 'out'), ('out', 'masuk'), ('masuk', 'cerita'), ('cerita', 'draft'), ('draft', 'hilang'), ('hilang', 'baik'), ('baik', 'cinta'), ('cinta', 'kesel')]"
['yukai'],[]
"['cerita', 'login', 'out']","[('cerita', 'login'), ('login', 'out')]"
"['beuhh', 'cerita', 'cuy']","[('beuhh', 'cerita'), ('cerita', 'cuy')]"
"['blm', 'nyoba']","[('blm', 'nyoba')]"
"['mantengin', 'slalu', 'celah', 'wadah', 'kreativ', 'it', 'as', 'anak', 'bangsa', 'pokok']","[('mantengin', 'slalu'), ('slalu', 'celah'), ('celah', 'wadah'), ('wadah', 'kreativ'), ('kreativ', 'it'), ('it', 'as'), ('as', 'anak'), ('anak', 'bangsa'), ('bangsa', 'pokok')]"
['iklan'],[]
[],[]
"['aneh', 'internet', 'nyambung', 'dowload', 'akun', 'as', 'in', 'baik']","[('aneh', 'internet'), ('internet', 'nyambung'), ('nyambung', 'dowload'), ('dowload', 'akun'), ('akun', 'as'), ('as', 'in'), ('in', 'baik')]"
['iklan'],[]
"['suka', 'lama', 'langgan']","[('suka', 'lama'), ('lama', 'langgan')]"
"['bintang', 'jaring', 'wifi', 'jelek', 'sungguh', 'kecewa']","[('bintang', 'jaring'), ('jaring', 'wifi'), ('wifi', 'jelek'), ('jelek', 'sungguh'), ('sungguh', 'kecewa')]"
"['beranda', 'daftar', 'baca', 'gabisa', 'kata', 'internet', 'sinyal', 'kenceng', 'baik']","[('beranda', 'daftar'), ('daftar', 'baca'), ('baca', 'gabisa'), ('gabisa', 'kata'), ('kata', 'internet'), ('internet', 'sinyal'), ('sinyal', 'kenceng'), ('kenceng', 'baik')]"
"['aneh', 'login', 'google', 'mlah', 'tungguin', 'ampe', 'sore', 'ampe', 'besok', 'gabisa', 'login', 'aneh']","[('aneh', 'login'), ('login', 'google'), ('google', 'mlah'), ('mlah', 'tungguin'), ('tungguin', 'ampe'), ('ampe', 'sore'), ('sore', 'ampe'), ('ampe', 'besok'), ('besok', 'gabisa'), ('gabisa', 'login'), ('login', 'aneh')]"
"['bug', 'fak']","[('bug', 'fak')]"
"['woii', 'erorr', 'login', 'jaring', 'baik', 'baik', 'bug', 'mauu', 'baca', 'susah', 'weh']","[('woii', 'erorr'), ('erorr', 'login'), ('login', 'jaring'), ('jaring', 'baik'), ('baik', 'baik'), ('baik', 'bug'), ('bug', 'mauu'), ('mauu', 'baca'), ('baca', 'susah'), ('susah', 'weh')]"
"['ragu', 'best', 'poko']","[('ragu', 'best'), ('best', 'poko')]"
['waw'],[]
"['update', 'burik']","[('update', 'burik')]"
"['iklan', 'muluu']","[('iklan', 'muluu')]"
"['iklan', 'nonton', 'iklan', 'awal', 'jeng', 'kel', 'baca', 'wifi', 'nontonin', 'iklan', 'bab', 'iklan', 'pret', 'ogah', 'baca', 'anj']","[('iklan', 'nonton'), ('nonton', 'iklan'), ('iklan', 'awal'), ('awal', 'jeng'), ('jeng', 'kel'), ('kel', 'baca'), ('baca', 'wifi'), ('wifi', 'nontonin'), ('nontonin', 'iklan'), ('iklan', 'bab'), ('bab', 'iklan'), ('iklan', 'pret'), ('pret', 'ogah'), ('ogah', 'baca'), ('baca', 'anj')]"
['suka'],[]
"['login', 'web', 'server', 'down']","[('login', 'web'), ('web', 'server'), ('server', 'down')]"
['error'],[]
['hibur'],[]
"['suka', 'cerita', 'lag', 'lama', 'lag', 'pdhal', 'wifi', 'ktnya', 'internet']","[('suka', 'cerita'), ('cerita', 'lag'), ('lag', 'lama'), ('lama', 'lag'), ('lag', 'pdhal'), ('pdhal', 'wifi'), ('wifi', 'ktnya'), ('ktnya', 'internet')]"
"['heh', 'awas', 'bintang', 'akun', 'off', 'waktu', 'login', 'cerita', 'hilang', 'hampir', 'bab', 'amat', 'pulihin']","[('heh', 'awas'), ('awas', 'bintang'), ('bintang', 'akun'), ('akun', 'off'), ('off', 'waktu'), ('waktu', 'login'), ('login', 'cerita'), ('cerita', 'hilang'), ('hilang', 'hampir'), ('hampir', 'bab'), ('bab', 'amat'), ('amat', 'pulihin')]"
"['lama', 'waktu', 'upload', 'image', 'bug', 'upload', 'samsek', 'uninstall', 'tutorial', 'yt', 'famous', 'asli', 'upgrade', 'main', 'baik', 'suka', 'baca', 'kreasi', 'thanks']","[('lama', 'waktu'), ('waktu', 'upload'), ('upload', 'image'), ('image', 'bug'), ('bug', 'upload'), ('upload', 'samsek'), ('samsek', 'uninstall'), ('uninstall', 'tutorial'), ('tutorial', 'yt'), ('yt', 'famous'), ('famous', 'asli'), ('asli', 'upgrade'), ('upgrade', 'main'), ('main', 'baik'), ('baik', 'suka'), ('suka', 'baca'), ('baca', 'kreasi'), ('kreasi', 'thanks')]"
[],[]
"['dapet', 'cerita', 'dewasa', 'modern']","[('dapet', 'cerita'), ('cerita', 'dewasa'), ('dewasa', 'modern')]"
"['error', 'populer', 'kikir']","[('error', 'populer'), ('populer', 'kikir')]"
"['gabisa', 'cerita', 'draft', 'hilang', 'bug', 'baik']","[('gabisa', 'cerita'), ('cerita', 'draft'), ('draft', 'hilang'), ('hilang', 'bug'), ('bug', 'baik')]"
"['basa', 'basi', 'inti', 'oren', 'dunia']","[('basa', 'basi'), ('basi', 'inti'), ('inti', 'oren'), ('oren', 'dunia')]"
['seru'],[]
"['iklan', 'bab', 'dulunya', 'iklan', 'bab', 'update', 'waktu', 'masuk', 'lama']","[('iklan', 'bab'), ('bab', 'dulunya'), ('dulunya', 'iklan'), ('iklan', 'bab'), ('bab', 'update'), ('update', 'waktu'), ('waktu', 'masuk'), ('masuk', 'lama')]"
"['sejak', 'bug', 'tutup', 'awal']","[('sejak', 'bug'), ('bug', 'tutup'), ('tutup', 'awal')]"
"['baik', 'scroll', 'pustaka', 'awal', 'novel', 'update', 'beranda', 'awal', 'baik', 'bug']","[('baik', 'scroll'), ('scroll', 'pustaka'), ('pustaka', 'awal'), ('awal', 'novel'), ('novel', 'update'), ('update', 'beranda'), ('beranda', 'awal'), ('awal', 'baik'), ('baik', 'bug')]"
"['login', 'tetapi']","[('login', 'tetapi')]"
"['login', 'out', 'bug', 'baca', 'baik', 'suka', 'login', 'out', 'email', 'bug', 'error', 'login', 'out', 'baik']","[('login', 'out'), ('out', 'bug'), ('bug', 'baca'), ('baca', 'baik'), ('baik', 'suka'), ('suka', 'login'), ('login', 'out'), ('out', 'email'), ('email', 'bug'), ('bug', 'error'), ('error', 'login'), ('login', 'out'), ('out', 'baik')]"
"['akun', 'hilang', 'masuk', 'akun', 'error', 'baca', 'cerita', 'ehh', 'masuk', 'perbaikin', 'baca', 'gabisa', 'masuk']","[('akun', 'hilang'), ('hilang', 'masuk'), ('masuk', 'akun'), ('akun', 'error'), ('error', 'baca'), ('baca', 'cerita'), ('cerita', 'ehh'), ('ehh', 'masuk'), ('masuk', 'perbaikin'), ('perbaikin', 'baca'), ('baca', 'gabisa'), ('gabisa', 'masuk')]"
"['suka', 'baca', 'nyaman', 'ngawur', 'bug', 'tulis', 'hilang', 'waktu', 'cerita', 'update', 'keluar', 'kentang', 'dev', 'baik', 'nyaman', 'oh', 'bintang', 'kecewa']","[('suka', 'baca'), ('baca', 'nyaman'), ('nyaman', 'ngawur'), ('ngawur', 'bug'), ('bug', 'tulis'), ('tulis', 'hilang'), ('hilang', 'waktu'), ('waktu', 'cerita'), ('cerita', 'update'), ('update', 'keluar'), ('keluar', 'kentang'), ('kentang', 'dev'), ('dev', 'baik'), ('baik', 'nyaman'), ('nyaman', 'oh'), ('oh', 'bintang'), ('bintang', 'kecewa')]"
"['najis', 'keluar', 'akun', 'login', 'najis', 'cuh']","[('najis', 'keluar'), ('keluar', 'akun'), ('akun', 'login'), ('login', 'najis'), ('najis', 'cuh')]"
"['media', 'menya', 'lurk', 'an', 'bakat', 'gratis']","[('media', 'menya'), ('menya', 'lurk'), ('lurk', 'an'), ('an', 'bakat'), ('bakat', 'gratis')]"
[],[]
"['ah', 'sampah', 'login', 'hina', 'login', 'sampah', 'bau', 'tulis', 'internet', 'wifi', 'mantap', 'poll', 'internet', 'buta', 'mata', 'mu', 'stres']","[('ah', 'sampah'), ('sampah', 'login'), ('login', 'hina'), ('hina', 'login'), ('login', 'sampah'), ('sampah', 'bau'), ('bau', 'tulis'), ('tulis', 'internet'), ('internet', 'wifi'), ('wifi', 'mantap'), ('mantap', 'poll'), ('poll', 'internet'), ('internet', 'buta'), ('buta', 'mata'), ('mata', 'mu'), ('mu', 'stres')]"
"['mes', 'suka', 'bug']","[('mes', 'suka'), ('suka', 'bug')]"
"['semenjak', 'cerita']","[('semenjak', 'cerita')]"
"['platform', 'tulis', 'suka', 'penjuru', 'dunia', 'cerita', 'hidup', 'baca', 'tulis', 'cerita', 'orisinal', 'bahasa', 'platform', 'cerita', 'sosial', 'meng', 'hub', 'ung', 'komunitas', 'global', 'kuat', 'cerita', 'simpan', 'baca', 'tulis', 'gabung', 'anggota', 'komunitas', 'cinta', 'cerita', 'internasional', 'baca', 'tulis', 'antusias', 'komentar', 'cerita', 'baca', 'da']","[('platform', 'tulis'), ('tulis', 'suka'), ('suka', 'penjuru'), ('penjuru', 'dunia'), ('dunia', 'cerita'), ('cerita', 'hidup'), ('hidup', 'baca'), ('baca', 'tulis'), ('tulis', 'cerita'), ('cerita', 'orisinal'), ('orisinal', 'bahasa'), ('bahasa', 'platform'), ('platform', 'cerita'), ('cerita', 'sosial'), ('sosial', 'meng'), ('meng', 'hub'), ('hub', 'ung'), ('ung', 'komunitas'), ('komunitas', 'global'), ('global', 'kuat'), ('kuat', 'cerita'), ('cerita', 'simpan'), ('simpan', 'baca'), ('baca', 'tulis'), ('tulis', 'gabung'), ('gabung', 'anggota'), ('anggota', 'komunitas'), ('komunitas', 'cinta'), ('cinta', 'cerita'), ('cerita', 'internasional'), ('internasional', 'baca'), ('baca', 'tulis'), ('tulis', 'antusias'), ('antusias', 'komentar'), ('komentar', 'cerita'), ('cerita', 'baca'), ('baca', 'da')]"
"['masuk', 'keluar', 'keluar', 'suka', 'hapus', 'donwload', 'masuk']","[('masuk', 'keluar'), ('keluar', 'keluar'), ('keluar', 'suka'), ('suka', 'hapus'), ('hapus', 'donwload'), ('donwload', 'masuk')]"
"['login', 'in']","[('login', 'in')]"
"['bug', 'ngeleg', 'smnjk', 'diupdate', 'update', 'lama', 'loadingnya', 'jaring', 'cerita', 'offline', 'wktu', 'baik', 'gbsa', 'luas', 'bca', 'cerita']","[('bug', 'ngeleg'), ('ngeleg', 'smnjk'), ('smnjk', 'diupdate'), ('diupdate', 'update'), ('update', 'lama'), ('lama', 'loadingnya'), ('loadingnya', 'jaring'), ('jaring', 'cerita'), ('cerita', 'offline'), ('offline', 'wktu'), ('wktu', 'baik'), ('baik', 'gbsa'), ('gbsa', 'luas'), ('luas', 'bca'), ('bca', 'cerita')]"
"['apikasinya', 'wifi']","[('apikasinya', 'wifi')]"
"['susah', 'bab']","[('susah', 'bab')]"
"['error', 'masuk']","[('error', 'masuk')]"
"['sinyal', 'sana', 'sinyal']","[('sinyal', 'sana'), ('sana', 'sinyal')]"
"['cerita', 'seru', 'aneh', 'tulis', 'notifikasi', 'lonceng', 'bell', 'reset', 'aneh']","[('cerita', 'seru'), ('seru', 'aneh'), ('aneh', 'tulis'), ('tulis', 'notifikasi'), ('notifikasi', 'lonceng'), ('lonceng', 'bell'), ('bell', 'reset'), ('reset', 'aneh')]"
"['hapus', 'seru', 'baca', 'besok', 'cerita', 'hapus', 'paham']","[('hapus', 'seru'), ('seru', 'baca'), ('baca', 'besok'), ('besok', 'cerita'), ('cerita', 'hapus'), ('hapus', 'paham')]"
"['nambah', 'nambah', 'bug', 'suka', 'keluar', 'notifikasi', 'layar', 'utama', 'cerita']","[('nambah', 'nambah'), ('nambah', 'bug'), ('bug', 'suka'), ('suka', 'keluar'), ('keluar', 'notifikasi'), ('notifikasi', 'layar'), ('layar', 'utama'), ('utama', 'cerita')]"
"['offline', 'ambil', 'premium', 'cerita', 'bayar', 'premium', 'ujung', 'cerita', 'jual', 'tulis', 'dijadiin', 'bahan', 'jual', 'njir', 'lama', 'enak', 'baca', 'novel', 'baca', 'online', 'iklan', 'bangat', 'halaman', 'iklan']","[('offline', 'ambil'), ('ambil', 'premium'), ('premium', 'cerita'), ('cerita', 'bayar'), ('bayar', 'premium'), ('premium', 'ujung'), ('ujung', 'cerita'), ('cerita', 'jual'), ('jual', 'tulis'), ('tulis', 'dijadiin'), ('dijadiin', 'bahan'), ('bahan', 'jual'), ('jual', 'njir'), ('njir', 'lama'), ('lama', 'enak'), ('enak', 'baca'), ('baca', 'novel'), ('novel', 'baca'), ('baca', 'online'), ('online', 'iklan'), ('iklan', 'bangat'), ('bangat', 'halaman'), ('halaman', 'iklan')]"
"['bug', 'jaring', 'baik']","[('bug', 'jaring'), ('jaring', 'baik')]"
['approve'],[]
"['daftar', 'masalah', 'daftar', 'anjay']","[('daftar', 'masalah'), ('masalah', 'daftar'), ('daftar', 'anjay')]"
"['bug', 'masak', 'daftar', 'daftar']","[('bug', 'masak'), ('masak', 'daftar'), ('daftar', 'daftar')]"
"['sii', 'masuk', 'nyaa']","[('sii', 'masuk'), ('masuk', 'nyaa')]"
"['as', 'in', 'orng', 'suka', 'baca', 'tulis', 'sngt', 'suka', 'as', 'in', 'majin', 'as', 'suka', 'fiksi']","[('as', 'in'), ('in', 'orng'), ('orng', 'suka'), ('suka', 'baca'), ('baca', 'tulis'), ('tulis', 'sngt'), ('sngt', 'suka'), ('suka', 'as'), ('as', 'in'), ('in', 'majin'), ('majin', 'as'), ('as', 'suka'), ('suka', 'fiksi')]"
"['fitur', 'baca', 'offline', 'bagain', 'nulisnya', 'lengkap', 'baca', 'tulis', 'pasang', 'poto', 'profil', 'masuk', 'poto', 'gambar', 'cerita', 'bab', 'fitur', 'crop', 'yes', 'uai', 'ukur', 'tulis', 'gem', 'bang', 'cerita']","[('fitur', 'baca'), ('baca', 'offline'), ('offline', 'bagain'), ('bagain', 'nulisnya'), ('nulisnya', 'lengkap'), ('lengkap', 'baca'), ('baca', 'tulis'), ('tulis', 'pasang'), ('pasang', 'poto'), ('poto', 'profil'), ('profil', 'masuk'), ('masuk', 'poto'), ('poto', 'gambar'), ('gambar', 'cerita'), ('cerita', 'bab'), ('bab', 'fitur'), ('fitur', 'crop'), ('crop', 'yes'), ('yes', 'uai'), ('uai', 'ukur'), ('ukur', 'tulis'), ('tulis', 'gem'), ('gem', 'bang'), ('bang', 'cerita')]"
"['masalah', 'proses', 'revisi', 'cerita', 'simpan', 'revisi', 'tulis', 'edit', 'bab', 'asal', 'perangkat', 'an', 'edit', 'perangkat', 'silah', 'revisi', 'simpan', 'es', 'alkan', 'nulis', 'perangkat', 'pulih', 'revisi', 'umum', 'frustasi', 'rusak']","[('masalah', 'proses'), ('proses', 'revisi'), ('revisi', 'cerita'), ('cerita', 'simpan'), ('simpan', 'revisi'), ('revisi', 'tulis'), ('tulis', 'edit'), ('edit', 'bab'), ('bab', 'asal'), ('asal', 'perangkat'), ('perangkat', 'an'), ('an', 'edit'), ('edit', 'perangkat'), ('perangkat', 'silah'), ('silah', 'revisi'), ('revisi', 'simpan'), ('simpan', 'es'), ('es', 'alkan'), ('alkan', 'nulis'), ('nulis', 'perangkat'), ('perangkat', 'pulih'), ('pulih', 'revisi'), ('revisi', 'umum'), ('umum', 'frustasi'), ('frustasi', 'rusak')]"
"['kirain', 'update', 'bug', 'baca', 'up', 'cerita', 'keluar', 'baik', 'baik']","[('kirain', 'update'), ('update', 'bug'), ('bug', 'baca'), ('baca', 'up'), ('up', 'cerita'), ('cerita', 'keluar'), ('keluar', 'baik'), ('baik', 'baik')]"
['suka'],[]
"['gtw', 'akhir', 'suka', 'lag', 'keluar', 'akun', 'cpt', 'baik']","[('gtw', 'akhir'), ('akhir', 'suka'), ('suka', 'lag'), ('lag', 'keluar'), ('keluar', 'akun'), ('akun', 'cpt'), ('cpt', 'baik')]"
['suka'],[]
"['tim', 'protes', 'letak', 'yaitu', 'buah', 'cerita', 'cerita', 'simpan', 'cerita', 'hilang', 'tim', 'baik', 'buah', 'bug', 'du', 'kung', 'dukung', 'karya', 'tulis']","[('tim', 'protes'), ('protes', 'letak'), ('letak', 'yaitu'), ('yaitu', 'buah'), ('buah', 'cerita'), ('cerita', 'cerita'), ('cerita', 'simpan'), ('simpan', 'cerita'), ('cerita', 'hilang'), ('hilang', 'tim'), ('tim', 'baik'), ('baik', 'buah'), ('buah', 'bug'), ('bug', 'du'), ('du', 'kung'), ('kung', 'dukung'), ('dukung', 'karya'), ('karya', 'tulis')]"
"['cerita', 'offline', 'bjir', 'asa']","[('cerita', 'offline'), ('offline', 'bjir'), ('bjir', 'asa')]"
"['bug', 'draft', 'hilang', 'untung', 'web', 'nyoba', 'hapus', 'simpan', 'samsek', 'keluar']","[('bug', 'draft'), ('draft', 'hilang'), ('hilang', 'untung'), ('untung', 'web'), ('web', 'nyoba'), ('nyoba', 'hapus'), ('hapus', 'simpan'), ('simpan', 'samsek'), ('samsek', 'keluar')]"
[],[]
"['daftar', 'online', 'batas', 'daftar', 'online', 'bintang', 'lima', 'sorot']","[('daftar', 'online'), ('online', 'batas'), ('batas', 'daftar'), ('daftar', 'online'), ('online', 'bintang'), ('bintang', 'lima'), ('lima', 'sorot')]"
"['baik', 'bug', 'salin', 'paragraf', 'lag', 'males']","[('baik', 'bug'), ('bug', 'salin'), ('salin', 'paragraf'), ('paragraf', 'lag'), ('lag', 'males')]"
"['gabisa', 'simpan']","[('gabisa', 'simpan')]"
"['baca', 'boring', 'buku', 'simpan', 'hilang', 're', 'komen', 'dasi', 'novel', 'genre', 'novel', 'lengkap']","[('baca', 'boring'), ('boring', 'buku'), ('buku', 'simpan'), ('simpan', 'hilang'), ('hilang', 're'), ('re', 'komen'), ('komen', 'dasi'), ('dasi', 'novel'), ('novel', 'genre'), ('genre', 'novel'), ('novel', 'lengkap')]"
"['perhati', 'kuota', 'baca', 'baca', 'hemat', 'nonton', 'tt', 'baca', 'cerita', 'masalah', 'kouta']","[('perhati', 'kuota'), ('kuota', 'baca'), ('baca', 'baca'), ('baca', 'hemat'), ('hemat', 'nonton'), ('nonton', 'tt'), ('tt', 'baca'), ('baca', 'cerita'), ('cerita', 'masalah'), ('masalah', 'kouta')]"
