content_filtered,2-gram
['ampun'],[]
"['offline', 'dimasukin', 'daftar', 'offline', 'internet']","[('offline', 'dimasukin'), ('dimasukin', 'daftar'), ('daftar', 'offline'), ('offline', 'internet')]"
"['masalah', 'duitin', 'bobrok', 'edit', 'cerita', 'susah', 'lama', 'loadingnya', 'save', 'sejak', 'update', 'takut', 'update', 'bug']","[('masalah', 'duitin'), ('duitin', 'bobrok'), ('bobrok', 'edit'), ('edit', 'cerita'), ('cerita', 'susah'), ('susah', 'lama'), ('lama', 'loadingnya'), ('loadingnya', 'save'), ('save', 'sejak'), ('sejak', 'update'), ('update', 'takut'), ('takut', 'update'), ('update', 'bug')]"
"['naruh', 'link', 'akun', 'update', 'naruh', 'link', 'akun', 'author', 'susah', 'naruh', 'link', 'baca', 'cerita', 'chapternya', 'taruh', 'karyak', 'rs', 'dibalikin', 'bintang', 'as', 'in']","[('naruh', 'link'), ('link', 'akun'), ('akun', 'update'), ('update', 'naruh'), ('naruh', 'link'), ('link', 'akun'), ('akun', 'author'), ('author', 'susah'), ('susah', 'naruh'), ('naruh', 'link'), ('link', 'baca'), ('baca', 'cerita'), ('cerita', 'chapternya'), ('chapternya', 'taruh'), ('taruh', 'karyak'), ('karyak', 'rs'), ('rs', 'dibalikin'), ('dibalikin', 'bintang'), ('bintang', 'as'), ('as', 'in')]"
"['masalah', 'sinyal', 'beranda', 'nunjukin', 'sinyal', 'jelek', 'gonta', 'data', 'wifi', 'gabisa', 'perbaikin', 'kuali', 'tas', 'lama', 'jelek']","[('masalah', 'sinyal'), ('sinyal', 'beranda'), ('beranda', 'nunjukin'), ('nunjukin', 'sinyal'), ('sinyal', 'jelek'), ('jelek', 'gonta'), ('gonta', 'data'), ('data', 'wifi'), ('wifi', 'gabisa'), ('gabisa', 'perbaikin'), ('perbaikin', 'kuali'), ('kuali', 'tas'), ('tas', 'lama'), ('lama', 'jelek')]"
"['susah', 'daftar', 'nyaa', 'kata', 'sandi', 'susahh', 'baget']","[('susah', 'daftar'), ('daftar', 'nyaa'), ('nyaa', 'kata'), ('kata', 'sandi'), ('sandi', 'susahh'), ('susahh', 'baget')]"
"['iklan', 'iklan']","[('iklan', 'iklan')]"
[],[]
"['masuk', 'akun']","[('masuk', 'akun')]"
"['hibur', 'tani', 'lopyu']","[('hibur', 'tani'), ('tani', 'lopyu')]"
"['bug', 'fitur', 'cari', 'kalah', 'saing']","[('bug', 'fitur'), ('fitur', 'cari'), ('cari', 'kalah'), ('kalah', 'saing')]"
"['kpn', 'masuk', 'ganguan', 'bntu']","[('kpn', 'masuk'), ('masuk', 'ganguan'), ('ganguan', 'bntu')]"
"['aneh', 'cerita', 'underrated', 'sedang', 'cerita', 'pasar', 'rating', 'atas']","[('aneh', 'cerita'), ('cerita', 'underrated'), ('underrated', 'sedang'), ('sedang', 'cerita'), ('cerita', 'pasar'), ('pasar', 'rating'), ('rating', 'atas')]"
"['bug', 'error']","[('bug', 'error')]"
"['vote', 'error', 'revisi']","[('vote', 'error'), ('error', 'revisi')]"
"['tagih', 'klik', 'an', 'playstore', 'iklan', 'iseng', 'klik', 'an', 'bkal', 'tulis', 'an', 'ambil', 'uang', 'awas', 'kluar', 'uang']","[('tagih', 'klik'), ('klik', 'an'), ('an', 'playstore'), ('playstore', 'iklan'), ('iklan', 'iseng'), ('iseng', 'klik'), ('klik', 'an'), ('an', 'bkal'), ('bkal', 'tulis'), ('tulis', 'an'), ('an', 'ambil'), ('ambil', 'uang'), ('uang', 'awas'), ('awas', 'kluar'), ('kluar', 'uang')]"
"['tulis', 'bab', 'draft', 'publish', 'blokir', 'akun', 'cerita', 'hilang', 'kejap', 'ye', 'bal', 'sungguh', 'rasa', 'muak', 'olah', 'olah', 'main']","[('tulis', 'bab'), ('bab', 'draft'), ('draft', 'publish'), ('publish', 'blokir'), ('blokir', 'akun'), ('akun', 'cerita'), ('cerita', 'hilang'), ('hilang', 'kejap'), ('kejap', 'ye'), ('ye', 'bal'), ('bal', 'sungguh'), ('sungguh', 'rasa'), ('rasa', 'muak'), ('muak', 'olah'), ('olah', 'olah'), ('olah', 'main')]"
"['suka', 'kuota', 'baca', 'offline']","[('suka', 'kuota'), ('kuota', 'baca'), ('baca', 'offline')]"
"['bug', 'wifi', 'sinyal', 'login']","[('bug', 'wifi'), ('wifi', 'sinyal'), ('sinyal', 'login')]"
"['suatu', 'fitur', 'bahasa']","[('suatu', 'fitur'), ('fitur', 'bahasa')]"
"['baca', 'offline']","[('baca', 'offline')]"
"['favorit', 'baca', 'novel', 'nulis', 'novel', 'waktu', 'luang', 'lama', 'upgrade', 'downgrade', 'bug', 'kata', 'internet', 'wifi', 'baik', 'baik', 'problem', 'ulas', 'bug', 'lama', 'maju', 'kritik', 'kritik', 'anggap', 'baik']","[('favorit', 'baca'), ('baca', 'novel'), ('novel', 'nulis'), ('nulis', 'novel'), ('novel', 'waktu'), ('waktu', 'luang'), ('luang', 'lama'), ('lama', 'upgrade'), ('upgrade', 'downgrade'), ('downgrade', 'bug'), ('bug', 'kata'), ('kata', 'internet'), ('internet', 'wifi'), ('wifi', 'baik'), ('baik', 'baik'), ('baik', 'problem'), ('problem', 'ulas'), ('ulas', 'bug'), ('bug', 'lama'), ('lama', 'maju'), ('maju', 'kritik'), ('kritik', 'kritik'), ('kritik', 'anggap'), ('anggap', 'baik')]"
"['bis', 'daftar', 'error']","[('bis', 'daftar'), ('daftar', 'error')]"
['masuk'],[]
"['seru', 'baca', 'iklan', 'bayar', 'cerita', 'seru', 'lanjutin']","[('seru', 'baca'), ('baca', 'iklan'), ('iklan', 'bayar'), ('bayar', 'cerita'), ('cerita', 'seru'), ('seru', 'lanjutin')]"
"['buruk', 'update', 'kualitas', 'baca', 'offline', 'crta', 'jauh', 'skli', 'sblm', 'baca', 'cerita', 'offline', 'baca', 'crta', 'suka', 'website', 'gabisa', 'versi', 'percaya', 'seru']","[('buruk', 'update'), ('update', 'kualitas'), ('kualitas', 'baca'), ('baca', 'offline'), ('offline', 'crta'), ('crta', 'jauh'), ('jauh', 'skli'), ('skli', 'sblm'), ('sblm', 'baca'), ('baca', 'cerita'), ('cerita', 'offline'), ('offline', 'baca'), ('baca', 'crta'), ('crta', 'suka'), ('suka', 'website'), ('website', 'gabisa'), ('gabisa', 'versi'), ('versi', 'percaya'), ('percaya', 'seru')]"
"['kapan', 'cepat', 'baik', 'in', 'doong']","[('kapan', 'cepat'), ('cepat', 'baik'), ('baik', 'in'), ('in', 'doong')]"
"['iklan', 'bentar', 'bentar', 'iklan', 'mua', 'baik']","[('iklan', 'bentar'), ('bentar', 'bentar'), ('bentar', 'iklan'), ('iklan', 'mua'), ('mua', 'baik')]"
"['kapan', 'baik']","[('kapan', 'baik')]"
['iklan'],[]
"['login', 'nyoba', 'slama', 'sminggu', 'masuk']","[('login', 'nyoba'), ('nyoba', 'slama'), ('slama', 'sminggu'), ('sminggu', 'masuk')]"
"['jelek', 'suka', 'vitur', 'wetty', 'hilang']","[('jelek', 'suka'), ('suka', 'vitur'), ('vitur', 'wetty'), ('wetty', 'hilang')]"
"['update', 'masuk']","[('update', 'masuk')]"
"['seru', 'maisha', 'error', 'bug', 'ngeselin']","[('seru', 'maisha'), ('maisha', 'error'), ('error', 'bug'), ('bug', 'ngeselin')]"
"['offline', 'loading', 'ribet']","[('offline', 'loading'), ('loading', 'ribet')]"
