content_filtered,3-gram
"['seru', 'baca', 'iklan', 'bayar', 'cerita', 'seru', 'lanjutin']","[('seru', 'baca', 'iklan'), ('baca', 'iklan', 'bayar'), ('iklan', 'bayar', 'cerita'), ('bayar', 'cerita', 'seru'), ('cerita', 'seru', 'lanjutin')]"
"['buruk', 'update', 'kualitas', 'baca', 'offline', 'crta', 'jauh', 'skli', 'sblm', 'baca', 'cerita', 'offline', 'baca', 'crta', 'suka', 'website', 'gabisa', 'versi', 'percaya', 'seru']","[('buruk', 'update', 'kualitas'), ('update', 'kualitas', 'baca'), ('kualitas', 'baca', 'offline'), ('baca', 'offline', 'crta'), ('offline', 'crta', 'jauh'), ('crta', 'jauh', 'skli'), ('jauh', 'skli', 'sblm'), ('skli', 'sblm', 'baca'), ('sblm', 'baca', 'cerita'), ('baca', 'cerita', 'offline'), ('cerita', 'offline', 'baca'), ('offline', 'baca', 'crta'), ('baca', 'crta', 'suka'), ('crta', 'suka', 'website'), ('suka', 'website', 'gabisa'), ('website', 'gabisa', 'versi'), ('gabisa', 'versi', 'percaya'), ('versi', 'percaya', 'seru')]"
"['kapan', 'cepat', 'baik', 'in', 'doong']","[('kapan', 'cepat', 'baik'), ('cepat', 'baik', 'in'), ('baik', 'in', 'doong')]"
"['iklan', 'bentar', 'bentar', 'iklan', 'mua', 'baik']","[('iklan', 'bentar', 'bentar'), ('bentar', 'bentar', 'iklan'), ('bentar', 'iklan', 'mua'), ('iklan', 'mua', 'baik')]"
"['kapan', 'baik']",[]
['iklan'],[]
"['login', 'nyoba', 'slama', 'sminggu', 'masuk']","[('login', 'nyoba', 'slama'), ('nyoba', 'slama', 'sminggu'), ('slama', 'sminggu', 'masuk')]"
"['jelek', 'suka', 'vitur', 'wetty', 'hilang']","[('jelek', 'suka', 'vitur'), ('suka', 'vitur', 'wetty'), ('vitur', 'wetty', 'hilang')]"
"['update', 'masuk']",[]
"['seru', 'maisha', 'error', 'bug', 'ngeselin']","[('seru', 'maisha', 'error'), ('maisha', 'error', 'bug'), ('error', 'bug', 'ngeselin')]"
"['offline', 'loading', 'ribet']","[('offline', 'loading', 'ribet')]"
"['iklan', 'laman', 'browser', 'baca', 'developer', 'iklan', 'seen', 'gg', 'laman', 'weh', 'update', 'nambahin', 'warna', 'oranye', 'status', 'bar', 'pusing', 'baca', 'warna', 'oranye', 'perhati', 'fokus', 'baca', 'cerita', 'malam']","[('iklan', 'laman', 'browser'), ('laman', 'browser', 'baca'), ('browser', 'baca', 'developer'), ('baca', 'developer', 'iklan'), ('developer', 'iklan', 'seen'), ('iklan', 'seen', 'gg'), ('seen', 'gg', 'laman'), ('gg', 'laman', 'weh'), ('laman', 'weh', 'update'), ('weh', 'update', 'nambahin'), ('update', 'nambahin', 'warna'), ('nambahin', 'warna', 'oranye'), ('warna', 'oranye', 'status'), ('oranye', 'status', 'bar'), ('status', 'bar', 'pusing'), ('bar', 'pusing', 'baca'), ('pusing', 'baca', 'warna'), ('baca', 'warna', 'oranye'), ('warna', 'oranye', 'perhati'), ('oranye', 'perhati', 'fokus'), ('perhati', 'fokus', 'baca'), ('fokus', 'baca', 'cerita'), ('baca', 'cerita', 'malam')]"
['ailaikit'],[]
"['novel', 'karismatik', 'charlie', 'wade', 'bab', 'bab']","[('novel', 'karismatik', 'charlie'), ('karismatik', 'charlie', 'wade'), ('charlie', 'wade', 'bab'), ('wade', 'bab', 'bab')]"
"['update', 'jelek', 'kualitas', 'as', 'in', 'bug', 'nulis', 'baca', 'cerita', 'simpan', 'akun', 'akun', 'baik']","[('update', 'jelek', 'kualitas'), ('jelek', 'kualitas', 'as'), ('kualitas', 'as', 'in'), ('as', 'in', 'bug'), ('in', 'bug', 'nulis'), ('bug', 'nulis', 'baca'), ('nulis', 'baca', 'cerita'), ('baca', 'cerita', 'simpan'), ('cerita', 'simpan', 'akun'), ('simpan', 'akun', 'akun'), ('akun', 'akun', 'baik')]"
"['error', 'sinyal', 'jaring', 'gabisa', 'as', 'in', 'baca', 'baik', 'cepat', 'ya']","[('error', 'sinyal', 'jaring'), ('sinyal', 'jaring', 'gabisa'), ('jaring', 'gabisa', 'as'), ('gabisa', 'as', 'in'), ('as', 'in', 'baca'), ('in', 'baca', 'baik'), ('baca', 'baik', 'cepat'), ('baik', 'cepat', 'ya')]"
