userName,content,score,reviewCreatedVersion,at,replyContent,repliedAt
Jiyan Jayanti,"kenapa yang offline kok cuma bisa dua aja, balikin lagi ke 25 seperti sebelumnya!",1,11.15.1,2025-09-30 14:41:01,,
Kun_ _My,kenapa batas offline ya cuman 2 biasanya kan 25 kok kurang banyak nya?,4,,2025-09-30 12:34:45,,
Ukiii Ya,seru banget saya suka banget sama aplikasi ini,5,,2025-09-30 12:30:49,,
Alda Maura frisya,"kenapa sih aku nulis pas mau di publis gk bisa? udah ganti emailnya beberapa kali tetap gk bisa, mau bikin akun ulang malah gk bisa juga karena kata sandi nya banyak syaratnya dll ngeselin banget udah lah pakai nomor gk bisa, pakai teks juga gk bisa hadeehh...",1,,2025-09-30 11:42:43,,
Efiq Elvira Rismasita,"kecewa, draft cerita saya hilang semua entah kemana",2,,2025-09-30 11:06:26,,
Erna Wati,"bagus bgt sih, walau kadang ngelag juga",5,,2025-09-30 08:22:02,,
Risma Dwi lestari,"makin kesini kok makin bug sih, update ga diupdate sama aja.",1,11.15.1,2025-09-30 06:25:36,,
siska fitria21,"apk ga bisa dibuka, tolong segera kasih solusinya",1,11.15.1,2025-09-30 03:32:58,,
Lantana,lumayan,4,11.15.1,2025-09-30 03:05:18,,
Suci Anggreini,"dulu wp kekny gak se ngebug ini ya? masa mau buka ceeita malah ada tulisan ""cerita ini tidak tersedia"" padahal blm selesai di baca, udh ilang aja, kacau kacau",2,11.11.1,2025-09-29 23:09:01,,
Viola Aghniya,"gagal bkin akun mlu, pdhl udh bnr",1,,2025-09-29 18:14:08,,
Fenny Yulianti,"Honestly, I don't care about iklan, bug, dan segala macam. Cuma satu yg saya permasalahkan, apa fungsinya Wattpad skrg? Ngemis vote kh? Habis ngemis vote sama komen, ceritanya di pdf kn supaya mereka dpt duit dri pembacanya. Mereka emang gk maksa, tapi mereka memperlakukan pembacanya seperti sampah. Salah satunya author yg membuat fanfiction naruhina bergenre hurt-romance. Harapan gua skrg, wattpad membuat aturan baru, di larang menulis fanfiction. Hrs menulis karakter original mereka sendiri.",1,11.14.1,2025-09-29 17:42:50,,
Marini Astuti,"aplikasi ngaco, ga bisa log in, sukanya ngebug mulu. kalo gini mulu banyak yang ga akan pakai wattpad nantinya",1,11.15.1,2025-09-29 15:04:33,,
Wachyu Putri,"tolong tinjau ulang dong apknya. tiap mau baca cerita lemot banget giliran dah mulai baca banyak banget iklannya, kurang²in lah iklan itu",2,11.15.1,2025-09-29 14:34:21,,
li,bug di mana-mana,1,,2025-09-29 13:58:07,,
Indah Sofianaa,tidak bisa login lagi setelah di hapus uninstal,1,,2025-09-29 13:14:51,,
rizka amanda,apk nya bagus cuma kok sekarang cerita offline di WP ku kok cuma bisa memuat 1 cerita doang yaa????,5,11.14.1,2025-09-29 13:03:32,,
adam bagus,Ondah Family JKT48,5,11.14.1,2025-09-29 12:32:02,,
Adenia Ramadhani,"dulu saya suka dengan apk ini, tpi karna hp saya habis diperbaiki jadi semua file di hp saya hilang, termasuk apk Wattpad, lalu, setelah saya download lagi, TIBA TIBA AKUN SAYA TIDAK BISA TERDAFTAR, pakai Facebook ngga bisa, pakai google juga ngga bisa, apalgi lngsng pake email, TETEP SAJA TIDAK BISA, tolong dong ini, klo ngga bisa semua, saya harus daftar pake apa hah?!, pake uang?!, saya mohon TOLONG DIPERBAIKI, karna saya ingin membaca wattpad lagi tapi ngga bisaa😓, saya smpe nangis tau ngga",2,11.15.1,2025-09-29 12:27:46,,
Fc Hollywood,"Bagus. Aplikasi ini jadi tempat saya menyalurkan hobi baca, dan berguna banget jadi tempat nulis dan publish cerita, bagus banget untuk yang hobi menulis atau membaca. Minus dari saya mungkin hanya iklannya yang banyak banget. Overall bagus. Shout out to all the wonderful writters and readers.",5,11.15.1,2025-09-29 11:34:51,,
Putu Putu,"baguss bangett, cuman banyak iklan jadi terganggu",5,11.8.0,2025-09-29 11:12:45,,
Wahyu 1234,"aplikasi yang seru dan bagus , walau kadang susah di buka dan sering update tapi tetap bagus dan sesuai seperti cerita yang kita inginkan.",4,11.15.1,2025-09-29 10:58:36,,
Al_ faruqq,"sekarang wattpad banyak bug padahal sering update, gk kayak dulu,",2,11.15.1,2025-09-29 10:51:42,,
Denok manies Jogja,"Aplikasi favorit sejak 2020 ,, tpi makin kesini makin kesono , gua gak bisa masuk, hari ini udah 3X download 3 hapus, coba masuk gagal lagi. Wifi rumah lancar jaya padahal, Arrgghhhhh pengen ngamuk 😤😤😤😭😭😭😭",3,11.15.1,2025-09-29 10:37:47,,
Pengguna Google,ini Wattpad kenapa ya kalo mau masuk aplikasinya suka bug. tolong diperbaiki udah lama banget permasalahan ini tapi tetep kalo update tetep ada bugnya,3,11.15.1,2025-09-29 09:37:50,,
Ba,kenapa sekarang hanya sampe 2 bacaan offlinenya dan yang paling menyebalkan saat membaca tiba-tiba masuk ke PlayStore,3,11.15.1,2025-09-29 08:52:18,,
Inaya Athifa,"Hello, I really like this application but please fix it because there are too many bugs, for example when I want to enter the Wattpad application, the writing says ""internet failed"" but when I check my internet, it's not a problem (aka my internet is fine) but there is always the writing ""internet failed"", please fix this. The rest is good. And if the application no longer says ""internet failed"" I will give it five stars, aka perfect.",4,11.15.1,2025-09-29 08:09:21,,
zero.ze.24,banyak bug saat akan mengulangi bacaan lagi saat sudah membaca cerita dan ingin mengulang cerita tersebut tiba tiba ceritanya tidak bisa di buka lagi,2,,2025-09-29 07:36:54,,
karenina pratiwi,sering banget eror,2,11.15.1,2025-09-29 06:48:00,,
Ati Endang,"bagus juga apk ini ,tapi...ini kenapa ga bisa offline ya sedih banget",5,11.13.0,2025-09-29 04:33:02,,
Campak Nsin,bug terus tolong perbaiki,1,11.15.1,2025-09-29 00:08:45,,
Alifa_iz,"kenapa tiba"" wattpadnya harus login lagi, jadinya bacaanku hilang semua😭😭,aku udah login diakun yang sama loh.",4,,2025-09-28 23:51:37,,
Laras Azis,EH CUKIMAY WATTPAD ANYING MANA BISA GITU COK AKU LUAMYAN LAMA PAKAI WATTPAD DARI 2020 KOK SEKARANG UNDUHAN BUAT BACA OFFLINE CUMA BISA 2??? PMKST??? ANW Wattpad GUE SELALU UPDATE OTOMATIS YAA!! DAN WAKTU GUE MAU BACA OFFLINE KOUTA NYA CUMA 2 CERITA TOK??? ARE U SERIOUS?! BITJ FIX UR APP!,1,,2025-09-28 17:32:48,,
Peachiee,please Wattpad tambahin fitur buat pindah-pindah akun dong.. masa hrs keluar masuk terus?? ribet bgt jujur 😭,3,11.15.1,2025-09-28 16:56:03,,
Chelsea 123,aplikasi ini cocok untuk org yg suka membaca dan ingin menulis sebuah novel,5,11.12.1,2025-09-28 16:42:26,,
Anggot Gile,sangat bagus👍,5,,2025-09-28 16:27:38,,
Loly Loly,"susah login pdhl sinyal wifi bagus,knpa jadi error gini sekarang",1,11.14.1,2025-09-28 14:57:35,,
El Zaza,apk ini sangat bagus buat saya yang sangat gabutt ini untk menggisi waktu luang saya and apk ini juga bisa pake mode ofline jadi sangat di butuh kan saat waktu nggak ada kouta,5,11.14.1,2025-09-28 13:37:33,,
Ajeng Aprilia,"sering ngeleg, cepet banget updatenya jadi males. setelah update gaada perubahan. yg bikin seru cuma ceritanya doang. download juga karena gabut kalau offline mau ngapain",3,11.15.1,2025-09-28 11:55:38,,
Intan Indriany,"baguss, tapi suka error knpa ya?",4,11.15.1,2025-09-28 11:45:15,,
Putri Kim,bagus but semua draf gw kaga ada!!,5,11.14.1,2025-09-28 11:16:52,,
Lia Meylia,"R U KNOWW!???, GR"" NI APP GUEE JADII ASING SM ORANG. klo gw kasi alasannya juga ga bakalan ekspek btw NII APP BAGUSS BANGETT GUEE RECOMMEND...",5,11.15.1,2025-09-28 09:13:58,,
Ian Sutian,ga jelas,1,,2025-09-28 08:55:00,,
Shella Agustin,ini wp knpa dahhh mau login susah sekalii tolong dong wpppp,2,11.15.1,2025-09-28 07:10:43,,
Nur Rul,"tolong balikin baca Wattpad versi offline nya.. 25 doang loh itu, kok tiba-tiba jadi 2 offline:(",5,11.15.1,2025-09-28 06:36:41,,
ca zuha0.0,makin lama makin ga jls banyak bugnya,1,,2025-09-28 06:24:03,,
Suryani Arta Fedi,"Aplikasi ini lumayan bagus cuman banyak iklan nya yang dicari kadang muncul kadang enggak tapi gak apa ini aja udh bagus cuman lebih baik iklan nya dikurangi gak terlalu banyak semoga membantu, dan juga kadang-kadang masuk nya lama dan lelet banget, jadinya buat kesel. kadang juga klo misalnya cari sesuatu tentang romance malah yang lain yang muncul",4,11.3.1,2025-09-28 05:20:23,,
Kodomo,"kenapa sekarang terlalu banyak bug saat menulis, login, dan mengubah profil? saat menulis selalu ada bug terus ""cerita anda di modifikasi di tempat lain"", kadang udah nulis sampai ribuan kata dan draftnya malah hilang. saat mengubah profil selalu ada bug dan pemberitahuan ""akun tidak di temukan"" . tolong di perbaiki karna itu sangat menggangu pengguna Wattpad dan terutama penulis.",1,11.9.0,2025-09-28 04:31:35,,
Nelvira Syahputri,"terimakasih ya udah menciptakan aplikasi ini ,ini aplikasi bisa juga wadah untuk kita berkarya dan semoga orang yang suka membaca dan menulis bisa menjadi aplikasi ini nomor 1 untuk mereka",5,11.15.1,2025-09-28 03:40:40,,
Adskyakayla Kayla,gak bisa bikin akun padahal sinyal bagus,2,,2025-09-28 02:58:18,,
elvnaskr,"jelek, banyak banget bug nya, udah coba in unistall terus di download lagi tapi malah gabisa login, katanya ""tidak bisa masuk coba lagi nanti (16) kirain 16 detik atau menit gataunya udah 1 bulan gabisa bisa. sebenernya apk nya bagus cuma bug nya aja + iklannya ganggu banget, tolong diperbaiki apk ini udah bagus banget cuma minus di situ aja",2,,2025-09-28 02:50:20,,
Setya Ananda,"""temukan jalan pulang"" ""Tidak dpt terhubung ke internet"" gue pke data pke wi-fi full jaringan ttp aja ga bsa ya! lu kenapa elaaah nyebelin bgt sih pas udh update?!!!!!! pdhl tdinya gak, ngambek lu",1,11.15.1,2025-09-28 02:13:31,,
Puji Sari Dewi,"akun wattpad saya tidak bisa login padahal udak pake wifi ,selalu bermasalah, terlalubanyak ikklan lah dan masalah yg lain",3,11.15.1,2025-09-27 20:08:50,,
Daeng Ngugi,yaaa banyak iklan nya doangsih,4,,2025-09-27 17:19:35,,
Nuruull Habibahh,"sebellll bngett banyak iklannya, masak setiap buka satu bab iklan Mulu. padahal dulu gak gini",2,,2025-09-27 15:50:03,,
Marsia Sia,bagusss aku suka aja,4,,2025-09-27 14:16:15,,
bilqis firdaus,"kenapa makin kesini performa nya makin buruk ,ga bisa pake wifi harus pake kuota ,tulisannya 'mari kita temukan jalan pulang' trs padahal ada wifi ,ga bisa login 'hubungkan ke internet' padahal wifi masih nyala ,tolong di perbaiki ya",1,11.15.1,2025-09-27 12:57:16,,
Kaira Rembulan,sangat cocok untuk mengisi waktu luang dan sangat cocok buat aku yg suka membaca🤓,5,11.15.1,2025-09-27 12:27:15,,
Reksa Bayu,sebagai penulis saya kecewa dengan anda...cerita saya sudah dibaca puluhan ribu orang dapat 2000 lebih vote dalam 6 bulan tiba tiba hilang tanpa pemberitahuan lebih dulu. seharusnya kurator anda bekerja lebih maksimal di awal cerita publish agar tidak membuat kecewa banyak orang...mungkin anda bisa benahi ini,1,,2025-09-27 11:15:24,,
Roisatul Hidayah,entah kenapa akun saya yang ada cerita tulisan saya hilang dan perlu mengganti akun baru😡😡😡(capek buat cerita nya woy),2,11.15.1,2025-09-27 11:02:47,,
Pengguna Google,Halo wattpad kenapa ya gak bisa buat buka story ?,1,11.15.1,2025-09-27 10:41:51,,
Desfitriani Amelia Putri,"Halo, sebetulnya dari dulu apknya gak ada masalah. Tapi kesel juga dari kemarin gak bisa login, udah dicoba di hp sama laptop hasilnya sama aja. Padahal sinyal bagus. Tolong dibantu ya, ini ada project yang mau aku publikasi😭",1,11.15.1,2025-09-27 09:49:10,,
aisyahadeliaa 123 aisyahadeliaa 123,aku kasih bintang 4 yaa seruuu,5,11.15.1,2025-09-27 09:47:55,,
Bagas Prayoga,"HAIIIII AKU UDH BIKIN DUA CERITA DISINI AYO MAMPIR DAN BACA CERITA AKU JUDULNYA DIBAWAHHH 1. CALIX: DARK EMBRACE 2. OBSESSED BY BLOOD AKUN NYA ITU: (DodolGaruk) VOTE, KOMEN, DAN FOLLOW AKUU YAAAA!!!",5,,2025-09-27 06:10:20,,
Nawir Nawir,tidak bisa di pakai anj,1,11.15.1,2025-09-27 06:01:26,,
7gblagi 3,"bagus, cerita cerita disini juga keren keren 👍🏻",5,,2025-09-27 04:20:09,,
Faiza Izza,"ribet pendaftarnya + susah, padahal udah make akun google tapi tetep aja nggak bisa, padahal di situ aku udah nulis tanggal,bulan, tahun lahir sama nama asli ku tapi tetep aja salah, bukannya semakin gampang malah semakin susah pendaftaranya.",1,11.15.1,2025-09-27 01:31:59,,
Lina Marlina,ga bisa login lagi setelah diuninstal,1,,2025-09-27 00:13:00,,
Theresia Abigail,bug ga bisa buka ini gimana?,1,11.15.1,2025-09-26 23:07:04,,
Rizki Adi,"Aplikasi nya Buruk, aku udah nulis 900 kata, pas di buka lagi malah ke reset, tolong bug beginian di perhatikan, dan selalu ngasih rekomendasi update sebelum mulai app supaya bugnya gak gitu gitu aja",1,,2025-09-26 20:50:40,,
Yayanaz AlyaNazwa,cerita nya asik,4,11.15.1,2025-09-26 17:05:20,,
Claudya Angelina,seringkali tidak bisa di buka,3,11.15.1,2025-09-26 16:20:59,,
Masitoh Masitoh,"seru sih baca ceritanya, tp ini kenapa eror lg? gx bisa d buka,",3,11.15.1,2025-09-26 16:12:46,,
kanaya khalish,"sering bug, tlg segera di perbaiki",2,11.15.1,2025-09-26 16:01:44,,
Aulynxx95,"wattpad ada masalah apa sih? cerita offline yang awalnya ada 25 tiba tiba hilang, cuma ada 2. dan itu gak bisa ditambah lagi, maksimal 2. padahal kan biasanya 25. udah sering ganti akun tapi gitu terus. tolong dong diperbaiki",3,11.15.1,2025-09-26 14:53:16,,
ell ngpainkak?,"bagusss, cmnnn adaa sedikitttt bugg, tolong di perbaiki yaaa timakasiii >,< T..T",5,,2025-09-26 14:29:26,,
Sindi Indah permadani,banyak iklan Bjirr,1,,2025-09-26 13:54:20,,
evita dias01,sangatt menarikk,4,,2025-09-26 13:14:54,,
Wanda SitiHamidahA2,kenapa gak bisa ke pasang udah diinstal kok tapi kagak ada,1,11.10.0,2025-09-26 13:00:38,,
Mutia Permatasari,bagus saya sangat suka karna bisa di baca walaupun tidak pakai paketan atau data.. tapii yang membuat saya agak sedikit tidak senang karna sekarang udh jarang banget para author buat cerita² baruu,5,11.15.1,2025-09-26 12:18:29,,
Neany safitri,"Tolong dong kenapa setiap pakai wi-fi atau data selalu gak bisa tolong diperbaiki seperti semula dong lebih asik wattpad dulu dari pada sekarang, ini pakai data atau wifi malah gak bisa padahal di aplikasi yang lainnya bisa sinyalnya juga bagus",3,11.15.1,2025-09-26 11:09:24,,
Hans christian Andersen,pas gw ngetik friend or love kenapa yang muncul cerita horor gk sesuai tag dan judul lagi kalau lagi nyari cerita kasih yang benar lah yang sesuai dengan tag kok yang muncul kisah horor tolong diperbaiki,3,11.15.1,2025-09-26 10:15:39,,
Kk Lover,"I lost most books I painfully collect to read later. Are there any new rules from wattpad I don't know that erased books with some criteria? I am sad. I am disappointed. I want to cry. I AM CRYING. Should I move on from wattpad? I am so sad... Now, even the author gone. I am speechless.",1,,2025-09-26 07:48:46,,
Dhiera Azzahra,"Susah login,selalu muncul notifikasi aplikasi telah berhenti",2,11.10.0,2025-09-26 07:11:06,,
Nasrink Pultas12,lama bngt di download,3,,2025-09-26 02:10:57,,
Tarisa Tasya Maulida,EROR MULU! Di apk mau di web SAMA!!! 😡,1,11.12.0,2025-09-26 01:52:42,,
Itah Nurlilah,cerita bagus bagus,4,11.15.1,2025-09-26 01:17:14,,
Nur Rani,"wth happened to Wattpad recently 😤 error terusss, temukan jalan pulang terus jadinya gak bisa search apapun cuman offline aja kecuali kalau pakai data kayaknya, aku langganan wifi jadi gak bisa! tolong benerin secepatnyaaa",2,11.9.0,2025-09-25 22:45:45,,
Lili Veronika,"sumpah aku ga tahan lagi sama wattpad kenapa kalian pasangan iklan judol sih kek ga ada iklan lain aja, di mana mana judol gue yang pengen baca jadi nya risih",5,11.15.1,2025-09-25 21:10:19,,
Klee,Data bocor ke dark web pler,1,,2025-09-25 18:07:17,,
Siti nur karomah,"setiap ganti bab selalu iklan,ganggu bgttt ih",1,11.14.1,2025-09-25 17:06:56,,
Indira Amara putri,"Banyak iklan mulu, jadi ga seru bacanya",2,11.14.1,2025-09-25 16:19:36,,
Seren Seravina,gk bisa di download,1,,2025-09-25 15:41:54,,
Cahaya Rabia,sangat bagus,5,,2025-09-25 14:55:37,,
Nour Aisha,"wattpad sekarang isinya agak2 yahh, padahal dulu banyak banget buku2 bagus, eh sekarang malah hilang semua tinggal yang gitu2 aja",3,,2025-09-25 14:18:11,,
Putrikasih Putri,halo kakak yang megang enih wattpad dan segala macam perkembangannyaa... please dongg bacaan offline nya di tambah... masa cuma dua saja. misalkan 10 gitu ka... karena kadang lagi diluar dan tidak ada kuota misal kurang suka sama alur kedua story itu bisa ganti... please dong ditambahkan lagi.. dan kenapa setelah di perbarui bentukannya jadi aneh ya.. bagusan yang lama,5,11.15.1,2025-09-25 13:18:05,,
Siti Fatimatus sahroi,apaan sering logout sendiri,5,11.14.1,2025-09-25 13:17:20,,
Nelia Hd,"udah coba berapa kali buat masuk akun yang dulu pernah saya miliki tapi gak bisa, saya coba buat akun baru malah eror gak bisa buat akun kan kocak ya.",1,,2025-09-25 12:35:51,,
Suci asih,judulnya menarik aku suka semua judulnya🥰,5,11.15.1,2025-09-25 12:20:58,,
lilance,aplikasi eror,4,11.15.1,2025-09-25 11:41:44,,
Erina Nindhya Zahra,aplikasi bagus tapi sering banget harus daftar akun,4,,2025-09-25 11:35:52,,
Ira Harisma,"makin ga nyaman pake nya sekarang,gak kepencet tapi tibatiba masuk ke apk shope, sering begitu,mana pas buka update cerita baru,dia malah mulai dari awal kebuka aplikasinya",2,11.13.0,2025-09-25 11:14:33,,
Pasu Vera Dolores Sitohang,woii ga bisa di buka woi jaringan ku bagus iya aku bukan mau pamer hp ku baru dan juga baru download WP aku kira ga bisa kan terus aku buka lagi di hp ku yang lama bisa woi kenapa dia hp yang baru nya ga bisa aelah🙄🙄 bintang 3 deh untuk sementara,3,11.15.1,2025-09-25 11:12:10,,
Arana Rara,"Makin update makin ga jls. pdhl udh lama login malah tiba² di suruh login lagi, pas udh login ga lama di suruh login lg ini maksdunya apaan? udh banyak gonta ganti akun buat login tp tetep aja katanya 'pengguna belum login' semoga kedepannya di perbaiki semua kesalahan ya. udh di titik gedeg karna di suruh login mulu :)",1,11.15.1,2025-09-25 10:14:04,,
Nur Aini,"kok ini aplikasi ngga bisa di update ya? trus notif2 dri penulis wp udh ga masuk lagi. saya udh 2 tahun pakai aplikasi ini, masa tiba tiba saya hapus karena udah ga bisa kepake lagi? jujur saya ga bisa kalau ga baca aplikasi ini. Pihak Wattpad YTH. tolong buat aplikasi ini kembali berfungsi di perangkat saya🙏🙏",3,11.8.0,2025-09-25 10:10:33,,
Beomgyu Choi beomgyu,sangat bagus,5,,2025-09-25 09:35:26,,
Amelia risya,kenapa udah 3 hari ini ga bisa di buka? di apk atau di web. bug nya ga ga jelas,1,11.15.1,2025-09-25 09:21:33,,
Zhu Yasan08,"Aplikasinya bagus, ada cerita yang aku cari. Tapi iklan waktu mau ke bab selanjutnya itu menyusahkan sekali.. padahal udh nonton iklan tapi engga kegeser ke bab selanjutnya dan harus nonton ulang. Kalau bisa hilangi fitur kaya gitu, bikin risih",3,,2025-09-25 09:18:48,,
Putu Diva ramadani,"bagus, banyak cerita yang menarik dan disini kita juga belajar tentang kerasnya di dunia",5,11.15.0,2025-09-25 08:40:44,,
Keisha Desfiani,Seru abiess,1,,2025-09-25 08:33:59,,
Ajeng_jengjeng09,setelah update aku jadi gabisa login dan selalu banyak bug,3,10.55.2,2025-09-25 07:59:05,,
Satria Dola,kenapa tidak bisa buka home nya?mohon dibantu,1,11.15.1,2025-09-25 07:40:19,,
Febyanti Pertiwi,"ko saya daftar tida bisa ya? selalu ada tulisan ""tidak bisa masuk saat ini.silakan coba lagi (16)"" padahal saya sudah mencoba beberapa kali tapi tetap aja ga bisa",1,11.15.1,2025-09-25 05:46:25,,
athayaa syaqelaa,"burikkkk sgt sgt burikkkk, login ulang mlh gbsa trs emg burikkkkk👎👎👎",1,,2025-09-25 03:43:41,,
Ari Yanto,lama² nggak jelas aplikasinya. bikin males baca disini,2,11.7.0,2025-09-25 01:54:40,,
widya assyura,kebanyakan iklan,1,,2025-09-25 01:09:15,,
Hilyah Naifa,bagus banyak ceritanya,5,,2025-09-24 23:55:30,,
Fitri Witin,lumayan bgsss,2,11.14.1,2025-09-24 18:44:41,,
Anisa Dewi,"Baguss bnget sii di pake buat berkreasi, tuangkan imajinasi disini itu bener bener kayak real gitu, ya walaupun kadang ada gangguan, udh nulis capek capek udh di simpen eh pas di cek hilang, tolong ya ininya di update lagi biar pemakai bisa semakin puas👍👍",5,11.15.1,2025-09-24 17:20:05,,
Arnii Afrianii,tbtb error gajelas bacaan semua Hilang.tolong diperbaiki secepatnya sistemnya wattpadd,1,,2025-09-24 15:23:49,,
Salma Azzahra,"gabisa masuk, gabisa terdaftar",1,11.15.0,2025-09-24 14:08:46,,
Zaskia Kia,jaringan harus BAGUS BANGET padahal di apk lain bagus bagus aja jadi bikin malas buat baca,1,11.15.1,2025-09-24 13:36:50,,
De Ayu,"KO MAKIN NGELUNJAK? MAU BACA OFFLINE CUMA DIKASI 2 CERITA, DIH APASI ORANG SUKA BACA MALAH MAKIN"" DISURUH BAYARNYA DIH! BALIKIN BACA OFFLINE JADI 25 LAGI!",3,,2025-09-24 13:07:24,,
jeongin.i.n straykids,bagus banget,5,,2025-09-24 13:07:04,,
Ayundadwei Dewi,"sekarang masuknya ribet dulu aku sempet punya wp daftar nya pake aku ggl tapi ga bisa aku log gatau kenapa, trus klo log itu lamaa banget, mohon untuk developer tolong di perbaiki ya kalo bisa kembaliin wp kaya dulu aja",2,10.84.0,2025-09-24 11:23:34,,
A.R KANCIL,"udah update masih aja ada tulisan ""mari kita temukan jalan pulang"" sudah 3x di liga out malah eror g bisa masuk sama sekali ini gimana?.",1,11.15.1,2025-09-24 10:49:04,,
di_ dita024,"min, aku udah lama download kenapa tiba2 ada tulisan ulang ulang terus, ini gak sekali 2 kali loh kak tapi yang kali ini bener2 gak bisa loh buat masuk ke aplikasi nya udah logout sendiri, udah aku update juga, di perbaiki lagi ya kak min gimana caranya biar gak logout sendiri gitu? mau masukin akun sama sandi lagi juga gak bisa bahkan buat akun baru juga gak bisa masuk, TOLONG DIJAWAB YA MIN!??",1,11.15.1,2025-09-24 09:45:35,,
Talenta Vircylia,sangat keren,5,,2025-09-24 09:44:14,,
Risya Nurahyani,"makin kesini makin makin, pas buka kenapa di beranda ada "" ulangi"" & "" maru temukan ..."", dan banyak nge bug nya, and hari ini tiap buka Wattpad selalu error hp saya ga bisa di touch, paniklah karna hpnya buat kerja juga jadi takut buat buka, tolong diperbaiki ya",3,11.15.1,2025-09-24 05:14:25,,
Putri Langsa,kenapa ya. banya cerita yang pengen aku baca pas di cari di pencarian malah gaada. kesel tauk. aku udah excited pengen baca malah gaada,3,11.14.1,2025-09-24 05:01:51,,
Yelisa Lisa,tolong aying lemot amatt masuk wp nya nape dah ruang kgk ada penuh tolong perbaikan lahh,2,,2025-09-24 02:52:15,,
Ari Purnama,"apalah wattpqd maķin kesini bukan makin baik, mohon untuk segera di perbaiki",1,11.13.0,2025-09-24 02:50:56,,
Siti Kholifah,aplikasi yang bagus. ceritanya juga menarik.,5,10.57.0,2025-09-24 00:52:39,,
Fikri Fitriah,kenapa dengan wattpad sekarang!!! 🙄🙄 udah hapus download terus aplikasi sama aja eror terus ga mau masuk. apa udah ga butuh para pembaca setia cerita di aplikasi wattpad lagi kah????,1,,2025-09-23 22:26:10,,
Win Wiwin,"Kenapa setiap buka di website pasti ada aja cerita yg hilang/ ""halaman ini tidak tersedia"" ya? pdhl di hp yg lain masih ada",4,,2025-09-23 18:19:28,,
Uca Nursah,"bagus banget pliss, tpi sayangnya akun ku kena hack padahal capek bngt buat alur cerita nya 🥲",5,,2025-09-23 16:07:36,,
Zoe Taylor,"gak banget sekarang masa novel online nya cuma bisa dua novel aja yang offline sebelum nya dikurangi cuma bisa 25 novel sekarang cuma 2, sangat beda drastis! saya udah install aplikasi ini 7-/+ benar-benar mengecewakan",5,11.11.1,2025-09-23 15:34:08,,
Niken,"WP LAGI ERROR APA MAINTENANCE KAHHHH? INI AKUNNYA KELUAR2 TERUS, BUTUH LOGIN ULANG KATANYA, SEKALINYA MO LOGIN LAGI MALAH GAK BISA LOGIN, MAU BUAT AKUN BARU JUGA GAKBISA, MAUNYA APASIH WOY😬😬😬😬😬",1,11.14.1,2025-09-23 13:41:07,,
Kanita Azzahra,boleh minta fitur terjemahan dong asalkan bukan fitur premium👉👈,5,11.15.0,2025-09-23 12:45:13,,
Nikma Ariswari,karena sekarang udah bisa login aku tambahin deh bintangnya,3,,2025-09-23 11:08:49,,
αkβαr •,"apk dongo, ga bisa login",1,11.15.0,2025-09-23 10:59:23,,
Adinda Maisyarani,"dari dulu kayanya masalahnya ini terus, ""tidak ada internet, cari jalan pulang"", ""masalah revisi"" kalo keseringan jadi kesel, tolong ya diperbaiki demi kenyamanan pengguna juga",3,11.15.0,2025-09-23 09:19:53,,
yngtw coot,suka banget sama ceritanya bikin lupa waktu kalo pas lagi baca,5,11.13.0,2025-09-23 08:36:57,,
Suidatun Nija,🙏,5,,2025-09-23 07:51:15,,
Nayla Febrianti (nella),ga sesuai ekspektasi,1,11.15.0,2025-09-23 06:47:22,,
Dinia Putri,"padahal dulu buku offline nya 25,tapi sekarang cuman 2",1,11.15.0,2025-09-23 02:21:06,,
Anna Nd,apk baca gratis paling seru. berbagai genre ada dan yang pasti banyak melahirkan karya-karya berkualitas dan juga penulis terkenal. good job Wattpad,4,11.14.1,2025-09-23 01:40:24,,
Nazla Ibnitsalis,"bagus sih, cuma suka kadang edan eling, padahal sinyal bagus, wifi juga manteng, tp entah kenapa kek ga bisa gitu ih",3,11.14.1,2025-09-23 01:24:01,,
Akhwat Privasi,error parah,1,,2025-09-22 23:04:38,,
Yuna Isti Hani,Tolong bug nya di perbaiki ya developer ☺,2,11.15.0,2025-09-22 22:50:26,,
Dimas Saputra,"nggk tau nya wattpad sekarang kok tambah aneh"" dulu pas awal unduh apk ini enak aja nggk ada iklan trus bisa baca cerita offline sepuas nya di perpustakaan tanpa batas sekarang kok di batasin jadi 25 eh sekarang malah jadi 2 buku yang bisa di baca offline",3,11.15.0,2025-09-22 19:41:45,,
Lara rajj,"APK KNTL, NOVEL NOVELNYA ILANG SEMUA! GAK NGERHAGAIN PENULIS SAMA TRANSLATOR NYA!! APALAGI PENGGUNANYA, SEKARANG BANYAK BANGET BUGNYA, LOGIN SUSAHHH BANGET, TOLONG OPTIMALKAN KAN LAH!!!",1,,2025-09-22 16:01:10,,
Restya Sari,"WATTPAD KENAPA SIH SEKARANG? SUKA BANGET NGELAG CERITA KU UDAH SAMPE CHAPTER 5 TIBA TIBA HILANKKK, PAS MAU BUAT CERITA BARU JG MAU DI SIMPEN GABISA MALAH ILANG TIBA TIBA, KESEL BANGET IHHH UDAH DARI LAMA KAYAK GINI KENAPA BELUM DITANGANI JUGA SIH? mohon diperbaiki.",1,11.14.1,2025-09-22 14:20:52,,
Rara Subak,bagus kok,5,11.15.0,2025-09-22 13:55:24,,
